P,B
50,20
50,20
50,37.5
50,39.66667
55,39.75
55,39.8
52.666657,38.16667
56,36.85714
62.75,46.5
66.555561,61.77778
81.1,64.7
78.54545,67.18182
81.58333,66.333337
80.6923,70.461544
81.07143,70.857144
80.73333,71.13332
80.3125,71.875
78.52942,72.11765
76.3889,73.88889
74.47368,73.78947
74,73.75
73.66667,73.61906
72.36363,73.54545
77.00001,73.43478
81.25001,73.25
80.24,74.16
80.07692,74.34616
78.62962,74.55557
77.92858,74.39285
77.20692,74.24136
78.23334,74.16667
77.96772,74.35483
79.9375,74.53125
79.9697,74.39393
81.35294,74.17647
81.25714,73.71429
81.6111,74.44445
81.35136,75.40541
83.07895,75.84211
83.23076,76.1282
83.675,76.175
84.09757,77.02439
84.90475,77.66666
84.69766,77.90699
85.09091,78.18182
84.55557,77.99999
84.41304,78.00001
84.02125,78.29787
84.02084,78.27083
83.85714,77.95918
84.12,78.36
83.64707,78.19608
84.73077,78.19232
84.07546,77.94339
84.2963,78.14815
85.85454,78.18181
85.91071,78.14287
85.77194,78.21052
86.27587,78.48274
86.32203,78.52543
86.36666,78.55
86.2623,78.57377
86.46774,78.25807
86.52382,77.96825
86.45313,78.14061
86.50771,78.01539
86.72728,77.89395
86.99999,78.10447
87.54412,77.97058
87.57971,77.94202
