기존 기법 : PDR 60%,,,,,,,제안 기법 : PDR 98%,,,,,
Node,Transmit Count,Fail Count,Failure Rate (%),RREQ Count,RREP Count,,Node,Transmit Count,Fail Count,Failure Rate (%),RREQ Count,RREP Count
rsu[0],753,0,0,100,10,,rsu[0],771,0,0,117,728
node[95],433,26,6.004618938,98,12,,node[80],126,6,4.761904762,122,1837
node[80],119,20,16.80672269,72,1,,node[75],465,7,1.505376344,65,733
node[75],584,6,1.02739726,32,1,,node[7],131,13,9.923664122,119,1130
node[7],24,8,33.33333333,96,1,,node[61],254,18,7.086614173,120,2037
node[51],210,1,0.476190476,76,2,,node[51],25,8,32,105,1804
node[46],806,30,3.722084367,43,3,,node[46],723,30,4.149377593,71,1383
node[39],162,1,0.617283951,65,1,,node[39],12,0,0,92,537
node[36],752,13,1.728723404,108,5,,node[36],741,62,8.367071525,117,994
node[31],112,13,11.60714286,74,1,,node[32],32,14,43.75,110,638
node[3],145,8,5.517241379,80,2,,node[31],591,35,5.922165821,113,1822
node[25],727,31,4.264099037,64,0,,node[25],755,60,7.947019868,113,2021
node[194],104,5,4.807692308,60,1,,node[20],167,6,3.592814371,33,1319
node[182],46,8,17.39130435,60,1,,node[194],5,0,0,90,1339
node[17],595,17,2.857142857,58,1,,node[182],61,7,11.47540984,105,1912
node[157],52,14,26.92307692,74,3,,node[17],727,44,6.052269601,85,1485
node[152],227,29,12.7753304,58,12,,node[161],420,27,6.428571429,116,2075
node[145],243,18,7.407407407,74,2,,node[157],451,29,6.430155211,87,609
node[143],215,6,2.790697674,73,2,,node[155],23,7,30.43478261,111,1775
,,,,1365,61,,node[152],546,39,7.142857143,77,1390
Total Transmit Count,6309,,,,,,node[145],46,22,47.82608696,109,709
Total Failed Count,307,,,,,,node[143],5,0,0,123,1541
Average Node Failure Rate (%),8.892082756,,,,,,,,,,2200,29818
RSU Failure Rate (%),0.840069742,,,,,,Total Transmit Count,7077,,,,
Overall Failure Rate (%),4.866064353,,,,,,Total Failed Count,506,,,,
,,,,,,,Average Node Failure Rate (%),13.59978563,,,,
,,,,,,,RSU Failure Rate (%),1.017380246,,,,
,,,,,,,Overall Failure Rate (%),7.149922283,,,,
