Density,Speed,Node,8131.681818,Failed_기존,FailureRate_기존,LinkBreak_기존,RERR_기존,Collision_기존,8832.659091,Failed_제안,FailureRate_제안,LinkBreak_제안,RERR_제안,Collision_제안
,,,,,,,,,,,,,,
고밀도,고속,0,10790,1970,18.25764597,46,110,2213,9718,1983,20.40543322,109,108,2195
고밀도,고속,4,4008,433,10.80339321,27,27,483,5119,394,7.696815784,16,25,434
고밀도,고속,6,4039,360,8.913097301,18,44,425,7256,1407,19.39084895,93,50,1550
고밀도,고속,7,5812,802,13.79903648,36,31,857,5034,551,10.94557012,19,33,580
고밀도,고속,9,9733,3514,36.10397616,183,292,4978,16667,4930,29.57940841,149,314,5941
고밀도,고속,10,8146,1626,19.96071692,69,75,1774,9110,2091,22.95279912,85,87,2344
고밀도,고속,11,7736,1669,21.57445708,55,83,1942,9110,2091,22.95279912,85,87,2344
고밀도,고속,17,15513,4695,30.26493908,156,282,5501,12785,4044,31.63081736,209,277,5512
고밀도,고속,19,11941,2854,23.90084583,114,274,3938,11941,2854,23.90084583,114,274,3938
고밀도,고속,20,8126,1297,15.96111248,55,207,1824,9026,1659,18.38023488,68,111,2018
고밀도,중속,0,11743,2792,23.77586647,88,142,3324,10548,2394,22.69624573,54,115,2836
고밀도,중속,4,6749,739,10.94977034,21,34,889,6848,668,9.754672897,31,39,773
고밀도,중속,6,6340,924,14.57413249,19,59,1080,11077,2281,20.59221811,75,114,2540
고밀도,중속,7,3603,139,3.857896198,9,9,150,3388,107,3.158205431,9,10,130
고밀도,중속,9,19309,5457,28.26143249,177,460,7010,18917,5746,30.37479516,207,479,7257
고밀도,중속,10,4815,473,9.823468328,27,40,615,6978,1075,15.40556033,36,108,1300
고밀도,중속,11,6932,1255,18.10444316,44,65,1375,8384,1925,22.96040076,91,101,2349
고밀도,중속,17,11516,2405,20.8839875,71,149,2822,11841,2881,24.33071531,123,185,3176
고밀도,중속,19,17612,5478,31.10379287,232,289,6477,19442,5637,28.99393067,159,365,6744
고밀도,중속,20,6392,618,9.668335419,14,26,747,7597,1124,14.79531394,25,47,1239
고밀도,저속,0,10600,2843,26.82075472,59,173,3326,14526,4410,30.35935564,149,307,5289
고밀도,저속,4,6060,325,5.363036304,8,14,363,5786,410,7.086069824,26,20,433
고밀도,저속,6,14134,2790,19.73963492,57,136,3178,15117,2441,16.14738374,60,173,3081
고밀도,저속,7,2843,49,1.723531481,2,2,50,2851,57,1.999298492,2,2,66
고밀도,저속,9,20652,5850,28.32655433,162,358,6874,22684,6582,29.01604655,176,501,7813
고밀도,저속,10,4844,110,2.270850537,3,3,135,4481,153,3.414416425,4,4,158
고밀도,저속,11,4984,227,4.554574639,5,11,234,5534,299,5.402963498,3,3,370
고밀도,저속,17,6500,284,4.369230769,9,18,317,6168,197,3.193904021,4,6,220
고밀도,저속,19,21814,5682,26.04749244,146,264,6611,23917,7207,30.13337793,163,443,8780
고밀도,저속,20,5356,352,6.572068708,6,8,366,4636,269,5.802415876,7,7,280
중밀도,고속,6,7029,1225,17.42779912,78,67,1421,6662,1116,16.75172621,63,95,1389
중밀도,고속,7,3149,206,6.541759289,15,16,234,2810,137,4.87544484,7,9,141
중밀도,고속,17,8477,1818,21.44626637,78,117,2289,6966,1320,18.94918174,55,88,1688
중밀도,고속,18,5224,808,15.46707504,22,39,930,5478,748,13.65461847,33,51,934
중밀도,고속,21,8185,1691,20.65974343,43,95,1933,7925,1643,20.7318612,50,63,1844
중밀도,고속,22,6907,1565,22.65817287,67,63,1702,5042,562,11.14637049,19,42,744
중밀도,고속,24,4677,782,16.72011973,45,28,992,10744,2734,25.44676098,60,130,3392
중밀도,고속,26,6427,1890,29.40718842,81,115,2342,9634,2563,26.60369525,105,93,2836
중밀도,고속,27,7274,1529,21.02007149,49,68,2028,11808,3166,26.81233062,101,171,4168
중밀도,고속,29,7967,1797,22.55554161,66,106,2041,8002,1540,19.2451887,28,41,1620
중밀도,중속,6,6997,916,13.09132485,17,37,1026,6813,884,12.97519448,23,35,987
중밀도,중속,7,2138,69,3.227315248,3,3,72,2138,72,3.367633302,3,4,75
