Node,Destination,Lifetime_Start,Lifetime_End,Duration
node[36],10.0.0.9,30.004100,51.303000,21.298900
node[36],10.0.0.9,89.930500,101.474000,11.543500
node[32],10.0.0.9,30.004100,43.304400,13.300300
node[7],10.0.0.9,30.004100,37.826100,7.822000
node[7],10.0.0.9,91.101200,102.185000,11.083800
node[96],10.0.0.9,30.004100,69.708200,39.704100
node[96],10.0.0.9,94.424800,101.466000,7.041200
rsu[0],10.0.10.8,30.005500,35.347200,5.341700
node[32],10.0.10.8,30.005500,31.807100,1.801600
node[95],10.0.10.8,30.005500,31.807100,1.801600
node[95],10.0.0.9,30.005500,43.304400,13.298900
node[95],10.0.0.9,89.922000,102.265000,12.343000
node[39],10.0.0.9,30.005500,52.248200,22.242700
node[39],10.0.0.9,47.368200,65.510200,18.142000
node[39],10.0.0.9,60.310200,76.513100,16.202900
node[7],10.0.10.8,30.005500,31.807100,1.801600
node[32],10.0.2.55,30.005700,31.807500,1.801800
node[18],10.0.2.55,30.005800,31.807500,1.801700
node[18],10.0.0.9,30.005800,36.242600,6.236800
node[18],10.0.0.9,77.911000,101.628000,23.717000
node[13],10.0.2.55,30.005800,31.807500,1.801700
node[13],10.0.0.9,30.005800,36.242600,6.236800
node[50],10.0.2.55,30.005800,31.807500,1.801700
node[50],10.0.0.9,30.005800,36.163700,6.157900
node[50],10.0.0.9,94.914600,100.675000,5.760400
rsu[0],10.0.2.55,30.005800,31.807500,1.801700
rsu[0],10.0.2.55,59.343700,62.207300,2.863600
node[36],10.0.2.55,30.005800,31.807500,1.801700
node[56],10.0.2.55,30.005800,31.807500,1.801700
node[56],10.0.0.9,30.005800,36.163700,6.157900
node[56],10.0.0.9,91.101200,102.185000,11.083800
node[7],10.0.8.244,30.006100,31.802600,1.796500
node[36],10.0.8.244,30.006100,31.802600,1.796500
rsu[0],10.0.8.244,30.006100,41.548300,11.542200
node[95],10.0.8.244,30.006100,43.308400,13.302300
node[13],10.0.8.244,30.006100,31.802600,1.796500
node[18],10.0.8.244,30.006100,31.802600,1.796500
node[17],10.0.10.215,30.020400,35.345300,5.324900
node[95],10.0.10.215,30.020400,31.328300,1.307900
node[46],10.0.10.215,30.020400,31.328300,1.307900
node[36],10.0.10.215,30.020400,33.914000,3.893600
node[13],10.0.5.46,30.062000,31.804900,1.742900
node[56],10.0.5.46,30.062000,31.804900,1.742900
node[50],10.0.5.46,30.062000,31.804900,1.742900
node[7],10.0.5.46,30.062000,31.804900,1.742900
node[5],10.0.5.46,30.062000,31.804900,1.742900
node[79],10.0.5.46,30.062000,31.804900,1.742900
node[32],10.0.5.46,30.062000,31.804900,1.742900
node[18],10.0.3.213,30.133700,31.803700,1.670000
node[56],10.0.3.213,30.133700,31.803700,1.670000
node[50],10.0.3.213,30.133700,31.803700,1.670000
node[7],10.0.3.213,30.133700,31.803700,1.670000
node[79],10.0.3.213,30.133700,31.803700,1.670000
