Node,Destination,Lifetime_Start,Lifetime_End,Duration
node[107],10.0.0.9,30.003700,71.925600,41.921900
node[130],10.0.0.9,30.003700,104.341000,74.337300
node[229],10.0.0.9,30.003700,70.097700,40.094000
node[244],10.0.0.9,30.003700,48.141900,18.138200
node[244],10.0.0.9,72.427100,82.266300,9.839200
node[35],10.0.0.9,30.003700,64.847800,34.844100
node[250],10.0.0.9,30.003700,64.847800,34.844100
node[258],10.0.0.9,30.003700,47.743800,17.740100
node[258],10.0.0.9,72.427100,82.110300,9.683200
node[244],10.0.9.195,30.005700,47.952200,17.946500
node[281],10.0.9.195,30.005700,80.072200,50.066500
node[281],10.0.0.9,30.005700,80.266800,50.261100
node[95],10.0.9.195,30.005700,80.072200,50.066500
node[95],10.0.0.9,30.005700,47.745700,17.740000
node[95],10.0.0.9,72.429100,82.265000,9.835900
node[157],10.0.9.195,30.005700,45.597600,15.591900
node[157],10.0.0.9,30.005700,47.745700,17.740000
rsu[0],10.0.9.195,30.005700,65.084800,35.079100
node[254],10.0.9.195,30.005700,43.546200,13.540500
node[254],10.0.0.9,30.005700,47.666100,17.660400
node[254],10.0.0.9,62.847800,79.902700,17.054900
node[7],10.0.9.195,30.005700,39.566700,9.561000
node[7],10.0.9.195,56.217800,104.112000,47.894200
node[7],10.0.0.9,30.005700,47.670500,17.664800
node[7],10.0.0.9,72.109000,104.261000,32.152000
node[130],10.0.29.43,30.006900,45.308000,15.301100
node[229],10.0.29.43,30.006900,43.546400,13.539500
rsu[0],10.0.29.43,30.006900,53.351500,23.344600
node[282],10.0.29.43,30.006900,51.429000,21.422100
node[282],10.0.0.9,30.006900,54.912400,24.905500
node[258],10.0.29.43,30.006900,39.650900,9.644000
node[250],10.0.29.43,30.006900,49.531300,19.524400
node[14],10.0.29.43,30.006900,36.203900,6.197000
node[14],10.0.0.9,30.006900,104.188000,74.181100
node[205],10.0.29.43,30.006900,49.531300,19.524400
node[205],10.0.0.9,30.006900,47.748000,17.741100
node[205],10.0.0.9,88.432200,104.109000,15.676800
node[107],10.0.35.94,30.008300,45.303800,15.295500
node[229],10.0.35.94,30.008300,80.408000,50.399700
node[250],10.0.35.94,30.008300,62.547800,32.539500
node[282],10.0.35.94,30.008300,58.915600,28.907300
node[282],10.0.35.94,75.774400,80.408000,4.633600
node[205],10.0.35.94,30.008300,36.201800,6.193500
node[258],10.0.35.94,30.008300,55.378300,25.370000
node[14],10.0.35.94,30.008300,41.901200,11.892900
node[221],10.0.25.239,30.062300,136.911000,106.848700
node[157],10.0.25.239,30.062300,39.902200,9.839900
node[262],10.0.25.239,30.062300,48.778400,18.716100
