Node,Legacy_RREQs,Proposed_RREQs
node[0],4,13
node[100],47,21
node[101],80,96
node[102],141,337
node[103],94,63
node[104],0,39
node[105],202,488
node[106],1,7
node[107],149,431
node[108],39,119
node[109],28,111
node[10],223,543
node[110],222,425
node[111],14,17
node[112],127,179
node[113],29,38
node[114],53,95
node[115],0,1
node[117],54,61
node[118],14,92
node[119],26,139
node[11],238,455
node[121],31,68
node[122],36,14
node[123],222,484
node[124],144,355
node[125],105,89
node[126],210,390
node[127],28,87
node[128],30,40
node[129],1,10
node[12],15,14
node[130],286,550
node[131],99,161
node[132],12,19
node[133],1,0
node[134],106,95
node[135],63,43
node[136],19,65
node[137],99,114
node[138],108,79
node[139],10,41
node[13],179,416
node[140],46,169
node[141],107,111
node[142],84,331
node[143],55,54
node[144],20,57
node[145],196,330
node[146],176,340
node[147],29,38
node[148],1,9
node[149],22,53
node[14],216,435
node[150],15,64
node[151],74,149
node[152],39,139
node[153],43,170
node[154],29,97
node[155],28,100
node[156],199,263
node[157],143,425
node[158],213,453
node[159],22,56
node[160],14,40
node[161],29,93
node[162],5,3
node[163],12,118
node[164],57,205
node[165],106,262
node[166],14,28
node[167],74,57
node[168],4,14
node[169],6,31
node[16],2,18
node[170],261,487
node[171],38,105
node[172],28,124
node[173],8,17
node[174],19,37
node[175],39,46
node[176],184,245
node[177],29,98
node[178],18,45
node[179],56,40
node[17],13,74
node[180],16,94
node[181],194,454
node[182],47,38
node[183],213,383
node[184],20,20
node[185],96,147
node[186],190,354
node[187],67,161
node[188],105,324
node[189],148,344
node[18],109,307
node[190],0,4
node[191],12,17
node[192],30,121
node[193],80,77
node[194],41,15
node[195],31,67
node[196],50,36
node[197],177,390
node[198],197,323
node[199],66,48
node[19],21,15
node[1],25,48
node[200],94,182
node[201],42,22
node[202],37,18
node[203],20,19
node[204],7,38
node[205],85,159
node[207],172,203
node[208],2,8
node[209],193,317
node[20],108,225
node[210],3,0
node[211],10,37
node[212],100,234
node[213],62,27
node[214],201,335
node[215],52,164
node[216],3,0
node[217],14,43
node[218],37,19
node[219],3,12
node[21],4,22
node[220],12,20
node[221],216,468
node[222],166,250
node[223],3,40
node[224],45,109
node[225],2,0
node[227],85,122
node[228],33,52
node[229],136,404
node[22],189,339
node[230],25,46
