P,B
46,20
46,20
35.5,37.5
52.00001,39.66667
59.75,39.75
60.2,39.8
60,38.16667
58.71428,36.85714
58.875,46.5
65.777777,61.77778
66.7,64.7
66.454534,67.18182
72.41667,66.333337
74.38462,70.461544
76.71429,70.857144
75.6,71.13332
74.625,71.875
74.17647,72.11765
74.83332,73.88889
75.84212,73.78947
76.95,73.75
79,73.61906
79.81819,73.54545
79.04347,73.43478
79.37502,73.25
79.56,74.16
78.5,74.34616
78.03703,74.55557
77.39286,74.39285
77.93103,74.24136
77.39999,74.16667
76.29033,74.35483
77.34375,74.53125
76.30301,74.39393
76.58822,74.17647
77.48572,73.71429
78.05556,74.44445
77.78378,75.40541
78.02631,75.84211
78.33333,76.1282
78.325,76.175
78.36586,77.02439
78.97619,77.66666
78.76744,77.90699
78.52273,78.18182
78.95555,77.99999
78.76089,78.00001
80.08512,78.29787
80.35417,78.27083
80.34694,77.95918
80.14,78.36
79.92158,78.19608
80.26923,78.19232
80.26414,77.94339
79.7037,78.14815
79.32727,78.18181
79.66072,78.14287
79.50877,78.21052
79.34483,78.48274
79.16949,78.52543
79.33333,78.55
79.09836,78.57377
79.43548,78.25807
79.36508,77.96825
79.21875,78.14061
79.07693,78.01539
78.9394,77.89395
78.79104,78.10447
78.60294,77.97058
78.33332,77.94202
