P,B
50,20
52,20
70,37.5
70,39.66667
70,39.75
70,39.8
71,38.16667
68.28571,36.85714
80.375,46.5
79.666673,61.77778
80.4,64.7
81.454542,67.18182
82.66668,66.333337
84.84615,70.461544
87.14285,70.857144
87.66666,71.13332
89.5,71.875
89.17647,72.11765
92.1111,73.88889
91.26317,73.78947
90.2,73.75
89.47617,73.61906
90.13637,73.54545
89.65217,73.43478
88.70834,73.25
87.64,74.16
86.92308,74.34616
87.70371,74.55557
87.35716,74.39285
87.06897,74.24136
86.66667,74.16667
87.25806,74.35483
86.40625,74.53125
86.24242,74.39393
85.67649,74.17647
86.37144,73.71429
86.55555,74.44445
86.59459,75.40541
85.81578,75.84211
86.41027,76.1282
85.775,76.175
85.82928,77.02439
86.04761,77.66666
86.18604,77.90699
86.02273,78.18182
86.48889,77.99999
86.34781,78.00001
85.93616,78.29787
86.25,78.27083
86.18367,77.95918
85.86,78.36
85.92157,78.19608
85.59615,78.19232
85.11322,77.94339
85.01852,78.14815
84.92725,78.18181
84.64286,78.14287
85.07018,78.21052
84.70689,78.48274
84.42373,78.52543
84.2,78.55
84.39345,78.57377
84.14516,78.25807
84.84128,77.96825
85.09374,78.14061
85.09232,78.01539
85.12121,77.89395
85.04477,78.10447
84.5294,77.97058
84.15941,77.94202
