P,B
22.22222222,11.11111111
22.22222222,11.11111111
23.33333333,11.11111111
52.22222222,11.11111111
57.22222222,11.11111111
55.33333333,11.11111111
55.55554444,22.03703333
52.38095667,22.06348889
49.86111111,24.58333333
46.91358222,24.32099222
45.77777778,24.11111111
49.39394111,27.77777778
51.48149222,31.20370033
52.13674667,31.96581567
48.73015556,34.36508733
46.96296333,36.14814778
48.61111111,41.59722222
56.86275,47.51634667
56.85185444,46.60493667
56.60819,49.53217333
57.72222222,52.55555556
56.77249222,52.38094667
57.12122556,53.9394
60.24153556,54.78261111
58.70369667,53.88888889
57.37777778,55.15555556
57.26495,56.15384444
57.61315889,55.18518889
58.69047667,53.96825556
59.46360444,54.71266667
60.81480778,53.88888889
61.36199556,55.08961111
62.29166667,55.03472222
63.33331111,55.42087778
63.88886667,55.29411111
63.14285556,59.11111111
63.45678889,59.87654444
64.2042,60.93093333
63.53801111,62.92398889
65.55555556,64.04558889
65.11111111,63.27777778
65.50136667,62.76423333
65.26454444,63.28043333
65.96898889,64.62532222
65.85857778,65.73231111
65.95061111,65.85186667
65.82125556,65.96618889
65.98107778,66.7376
66.38888889,66.29628889
68.00453333,66.28117778
67.31111111,67.35555556
66.71023333,67.36382222
67.35044444,67.32905556
66.83436667,66.47797778
66.27571111,66.25514444
66.58586667,66.68688889
66.60714444,66.7857
67.19297778,66.80312222
67.1839,66.68582222
67.68362222,66.59133333
67.7037,66.75926667
67.3224,66.75774444
68.2079,67.7778
68.13048889,68.05996667
67.86456667,68.19444444
67.38462222,67.65812222
67.32322222,68.09763333
67.19735556,67.9602
68.23528889,68.2353
68.64733333,68.80835556
