P,B
10,10
10,10
10,10
19.66667,10
17.25,10
28,10
33.5,10
38.285714,10
40.625,21.875
50.11111,20.555563
47.1,19.5
47.454541,22.09091
46.416677,24.5833303
43.692304,26.5384621
42,32.0000086
41.066663,33.800003
39.125,38.625
40.117639,43.882352
41.611111,43.055553
41.00001,45.631586
46.25,48.3
48.571416,48.095242
49.227258,49.45455
48.217405,50.52174
47.666666,50.08333
49.24,51.56
48.269237,52.76923
49.111107,52.18519
49.178584,51.35715
49.275871,51.65519
49.06667,50.83334
49.709671,51.83871
51.28125,51.71875
52.181822,52.06061
52.205878,51.88235
53.514293,55.25714
57.055553,55.88889
57.64864,56.51352
58.07895,58.00001
60.43589,59.71795
60.775,59.225
61.75609,58.95123
62.11905,59.59525
62.51162,60.76744
63.18182,61.70453
62.93332,61.75557
62.82607,61.80436
63.29787,62.65958
63.77083,62.35416
63.79592,62.53062
65.44,63
65.52942,63.15685
67.15387,63.26923
67.39623,62.6415
67.16667,62.57407
67.85454,63.09092
68.23215,63.30356
69.19298,63.43861
69.1207,63.44828
69.05085,63.47458
69.15,63.73334
69.44262,63.65574
69.25807,63.64518
69.66666,63.8254
69.84374,63.73438
70.03077,63.36923
69.6818,63.5909
69.08956,63.43284
69.02942,63.64706
68.79712,64.13043
