Node,Transmit Count,Fail Count,Failure Rate (%),RREQ Count
rsu[0],748,55,19.43462898,280
node[21],641,183,28.54914197,187
node[130],435,75,17.24137931,372
node[104],415,90,21.68674699,563
node[67],397,85,21.41057935,347
node[55],387,156,40.31007752,424
node[95],301,28,9.302325581,362
node[0],283,55,19.43462898,446
node[50],233,69,29.61373391,325
node[18],224,39,17.41071429,357
node[36],216,53,24.53703704,552
node[75],199,43,21.6080402,53
node[170],169,96,56.80473373,400
node[127],164,45,27.43902439,539
node[83],149,48,32.2147651,366
node[25],147,11,7.482993197,289
node[62],146,32,21.91780822,476
node[191],145,36,24.82758621,349
node[56],119,39,32.77310924,607
node[143],107,7,6.542056075,147
node[35],93,20,21.50537634,457
node[32],91,12,13.18681319,182
node[148],88,24,27.27272727,272
node[65],87,28,32.18390805,511
node[100],81,13,16.04938272,379
node[113],80,1,1.25,241
node[157],78,14,17.94871795,178
node[7],68,23,33.82352941,629
node[187],63,4,6.349206349,314
node[152],62,4,6.451612903,214
node[33],50,17,34,608
node[68],46,16,34.7826087,429
node[207],45,0,0,29
node[136],43,9,20.93023256,390
node[4],42,19,45.23809524,509
node[109],40,0,0,387
node[153],40,21,52.5,293
node[29],35,12,34.28571429,284
node[44],33,10,30.3030303,629
node[54],14,0,0,174
node[30],13,5,38.46153846,158
node[103],10,4,40,179
node[181],8,0,0,195
,,,,
Total Transmit Count,6835,,,
Total Failed Count,1642,,,
Average Node Failure Rate (%),25.46392039,,,
RSU Failure Rate (%),2.86759327,,,
Overall Failure Rate (%),24.02340892,,,
