Node,Transmit Count,Fail Count,Failure Rate (%),RREQ Count
rsu[0],753,0,0,100
node[36],752,13,1.7287234042553192,108
node[39],162,1,0.6172839506172839,65
node[46],806,30,3.722084367245657,43
node[25],727,31,4.264099037138927,64
node[17],595,17,2.857142857142857,58
node[75],584,6,1.0273972602739725,32
node[95],433,26,6.0046189376443415,98
node[145],243,18,7.4074074074074066,74
node[51],210,1,0.4761904761904762,76
node[143],215,6,2.7906976744186047,73
node[152],227,29,12.77533039647577,58
node[194],104,5,4.807692307692308,60
node[80],119,20,16.80672268907563,72
node[3],145,8,5.517241379310345,80
node[31],112,13,11.607142857142858,74
node[7],24,8,33.33333333333333,96
node[157],52,14,26.923076923076923,74
node[182],46,8,17.391304347826086,60

Total Transmit Count,6309
Total Failed Count,307
Average Node Failure Rate (%),8.892082755903784
RSU Failure Rate (%),0.8400697416389284
Overall Failure Rate (%),4.866064352512284
