Node,Transmit Count,Fail Count,Failure Rate (%),RREQ Count
rsu[0],716,26,17.56756757,239
node[36],326,76,23.31288344,376
node[56],182,55,30.21978022,445
node[18],75,24,32,233
node[69],67,22,32.8358209,84
node[7],107,31,28.97196262,466
node[50],226,65,28.76106195,183
node[55],142,33,23.23943662,239
node[21],687,168,24.45414847,110
node[83],303,60,19.8019802,231
node[62],319,76,23.82445141,308
node[65],128,21,16.40625,329
node[100],242,66,27.27272727,207
node[75],169,39,23.07692308,23
node[130],428,70,16.35514019,282
node[104],654,52,7.951070336,340
node[95],501,37,7.385229541,261
node[136],163,38,23.31288344,216
node[143],71,14,19.71830986,115
node[152],27,8,29.62962963,154
node[25],55,6,10.90909091,165
node[67],84,1,1.19047619,204
node[127],66,17,25.75757576,351
node[33],40,21,52.5,418
node[170],16,1,6.25,300
node[35],196,42,21.42857143,305
node[122],46,16,34.7826087,238
node[103],142,26,18.30985915,169
node[54],131,14,10.6870229,99
node[110],109,21,19.26605505,109
node[61],48,5,10.41666667,163
node[148],45,0,0,164
node[48],133,20,15.03759398,157
node[194],78,11,14.1025641,126
node[68],146,6,4.109589041,300
node[157],23,4,17.39130435,144
node[0],148,26,17.56756757,244
node[191],27,13,48.14814815,240
node[4],36,11,30.55555556,302
node[187],34,1,2.941176471,196
,,,,
Total Transmit Count,7136,,,
Total Failed Count,1382,,,
Average Node Failure Rate (%),21.04950303,,,
RSU Failure Rate (%),2.312219731,,,
Overall Failure Rate (%),19.36659193,,,
