Node,Transmit Count,Fail Count,Failure Rate (%),RREQ Count,RREP Count
rsu[0],681,0,0,184,0
node[36],72,0,0,227,0
node[33],364,156,42.857142857142854,313,0
node[5],127,7,5.511811023622047,80,0
node[35],124,14,11.29032258064516,200,0
node[40],62,7,11.29032258064516,356,0
node[11],56,1,1.7857142857142856,117,0
node[20],606,96,15.841584158415841,279,0
node[10],195,1,0.5128205128205128,148,0
node[103],185,7,3.783783783783784,106,0
node[130],183,26,14.207650273224044,183,0
node[96],19,1,5.263157894736842,156,0
node[64],19,0,0,367,0
node[71],87,10,11.494252873563218,212,0
node[56],199,20,10.050251256281408,307,0
node[6],156,11,7.051282051282051,240,0
node[23],127,10,7.874015748031496,312,0
node[49],61,12,19.672131147540984,297,0
node[7],86,9,10.465116279069768,340,0
node[113],42,13,30.952380952380953,110,0
node[153],32,3,9.375,112,0
node[32],19,0,0,118,0
node[29],27,8,29.629629629629626,210,0
node[170],90,11,12.222222222222221,190,0
node[4],53,14,26.41509433962264,262,0
node[171],20,0,0,161,0
node[107],30,10,33.33333333333333,227,0
node[85],79,7,8.860759493670885,228,0
node[68],143,4,2.797202797202797,203,0
node[157],117,45,38.46153846153847,115,0
node[59],72,31,43.05555555555556,183,0
node[147],41,22,53.65853658536586,212,0
node[140],60,24,40.0,159,0
node[172],50,14,28.000000000000004,236,0
node[84],101,0,0,120,0
node[63],1,0,0,285,0
node[210],98,0,0,39,0

Total Transmit Count,4484
Total Failed Count,724
Average Node Failure Rate (%),18.472848713001444
RSU Failure Rate (%),2.8991971454058874
Overall Failure Rate (%),16.146297948260482
