Node,Transmit Count,Fail Count,Failure Rate (%),RREQ Count,RREP Count
rsu[0],730,0,0,38,0
node[96],163,5,3.067484662576687,89,0
node[20],686,112,16.3265306122449,103,0
node[4],198,7,3.535353535353535,107,0
node[14],307,5,1.6286644951140066,66,0
node[103],357,2,0.5602240896358543,11,0
node[10],112,10,8.928571428571429,75,0
node[130],617,7,1.1345218800648298,67,0
node[6],461,18,3.9045553145336225,106,0
node[35],454,16,3.524229074889868,86,0
node[7],28,5,17.857142857142858,145,0
node[170],169,7,4.142011834319527,79,0
node[85],6,0,0,146,0
node[180],121,5,4.132231404958678,136,0
node[33],160,13,8.125,110,0

Total Transmit Count,4569
Total Failed Count,244
Average Node Failure Rate (%),5.912809322261984
RSU Failure Rate (%),0.7003720726636026
Overall Failure Rate (%),5.34033705405997
