Density,Speed,Node,Transmit_기존,Failed_기존,FailureRate_기존,Transmit_제안,Failed_제안,FailureRate_제안,
고밀도,고속,6,4039,360,8.913097301,7256,1407,19.39084895,-10.47775165
고밀도,고속,7,5007,487,9.726383064,5034,551,10.94557012,-1.219187059
고밀도,고속,18,6682,1049,15.69889255,9150,2144,23.43169399,-7.732801442
고밀도,고속,21,12540,3291,26.24401914,12667,2945,23.24938817,2.994630965
고밀도,고속,29,8692,1770,20.36355269,9994,2374,23.75425255,-3.390699859
고밀도,고속,33,6426,984,15.31279178,6816,1048,15.37558685,-0.062795071
고밀도,고속,36,13085,3622,27.68055025,13162,3066,23.29433217,4.38621808
고밀도,고속,44,8213,1399,17.03397053,10061,2274,22.60212703,-5.568156491
고밀도,고속,46,13802,3630,26.30053615,16670,5095,30.56388722,-4.263351068
고밀도,중속,6,5736,1096,19.10739191,11077,2281,20.59221811,-1.484826199
고밀도,중속,7,3412,62,1.817116061,3388,107,3.158205431,-1.34108937
고밀도,중속,18,7489,534,7.130458005,8101,934,11.52944081,-4.398982805
고밀도,중속,33,6161,596,9.673754261,5330,692,12.98311445,-3.309360186
고밀도,중속,36,12228,2770,22.65292771,11238,2187,19.46075814,3.192169565
고밀도,중속,29,11668,2671,22.89166952,11671,2585,22.14891612,0.742753407
고밀도,중속,37,18791,5843,31.09467298,18387,5256,28.58541361,2.509259374
고밀도,저속,6,12673,1755,13.84833899,13475,2683,19.9109462,-6.062607208
고밀도,저속,7,2770,40,1.444043321,2843,46,1.618009145,-0.173965824
고밀도,저속,18,8444,1111,13.15727144,7108,688,9.679234665,3.47803677
고밀도,저속,33,8477,1551,18.29656718,10112,1763,17.43473101,0.861836169
고밀도,저속,36,10645,1302,12.23109441,13350,2732,20.46441948,-8.233325065
고밀도,저속,29,13368,2609,19.51675643,12669,2256,17.80724603,1.7095104
고밀도,저속,37,19559,5624,28.75402628,17729,4440,25.04371369,3.71031259
고밀도,저속,46,12650,2685,21.22529644,13904,2685,19.31098964,1.914306799
고밀도,저속,22,12776,1867,14.61333751,12677,2016,15.90281612,-1.289478616
,,,,,,,,,-1.340373752
,,,,,,,,,
중밀도,고속,6,4110,608,14.79318735,6662,1116,16.75172621,-1.95853886
중밀도,고속,7,2740,67,2.445255474,2810,137,4.87544484,-2.430189365
중밀도,고속,17,10037,1796,17.89379297,6966,1320,18.94918174,-1.055388774
중밀도,고속,20,2492,500,20.06420546,5550,973,17.53153153,2.532673926
중밀도,고속,26,8024,2160,26.91924227,9634,2563,26.60369525,0.315547027
중밀도,고속,27,10346,2762,26.69630775,11808,3166,26.81233062,-0.116022872
중밀도,고속,29,5696,727,12.7633427,8002,1540,19.2451887,-6.481846006
중밀도,고속,36,2693,161,5.978462681,3025,254,8.396694215,-2.418231534
중밀도,고속,37,6506,891,13.69505072,6648,823,12.37966306,1.315387666
중밀도,중속,6,12425,528,4.249496982,6813,884,12.97519448,-8.725697499
중밀도,중속,7,2383,7,0.293747377,0,0,0,0.293747377
중밀도,중속,17,7912,1181,14.92669363,8724,2460,28.19807428,-13.27138065
중밀도,중속,20,5060,485,9.584980237,4206,309,7.346647646,2.238332591
중밀도,중속,24,8515,1777,20.86905461,7177,1674,23.32450885,-2.455454238
중밀도,중속,26,6078,1572,25.86377098,10202,2339,22.92687708,2.936893894
중밀도,중속,27,15600,4684,30.02564103,15390,4386,28.49902534,1.526615685
중밀도,중속,29,5623,815,14.49404233,6585,1147,17.41837509,-2.924332769
중밀도,중속,36,1400,30,2.142857143,1430,30,2.097902098,0.044955045
