Node,Destination,Lifetime_Start,Lifetime_End,Duration
node[35],10.0.0.9,30.003700,45.038900,15.035200
node[35],10.0.0.9,67.426200,95.487600,28.061400
node[265],10.0.0.9,30.003700,57.833100,27.829400
node[243],10.0.0.9,30.003700,60.703700,30.700000
node[130],10.0.0.9,30.003700,60.783600,30.779900
node[130],10.0.0.9,67.105600,95.486600,28.381000
node[102],10.0.0.9,30.003700,60.782700,30.779000
node[102],10.0.0.9,67.105400,93.676900,26.571500
node[248],10.0.0.9,30.003700,60.626800,30.623100
node[248],10.0.0.9,67.106200,95.013100,27.906900
node[256],10.0.0.9,30.003700,60.548000,30.544300
node[256],10.0.0.9,67.424200,95.091400,27.667200
node[243],10.0.9.195,30.006100,38.652300,8.646200
rsu[0],10.0.9.195,30.006100,45.149800,15.143700
rsu[0],10.0.9.195,102.653000,108.093000,5.440000
node[95],10.0.9.195,30.006100,48.680100,18.674000
node[95],10.0.0.9,30.006100,60.705900,30.699800
node[95],10.0.0.9,67.426200,95.408600,27.982400
node[32],10.0.9.195,30.006100,34.798900,4.792800
node[32],10.0.0.9,30.006100,74.720800,44.714700
node[35],10.0.65.211,30.006700,38.905900,8.899200
rsu[0],10.0.65.211,30.006700,41.774800,11.768100
node[95],10.0.65.211,30.006700,37.292300,7.285600
node[32],10.0.65.211,30.006700,52.906600,22.899900
node[260],10.0.65.211,30.006700,34.190900,4.184200
node[260],10.0.0.9,30.006700,60.395900,30.389200
node[260],10.0.0.9,67.425400,76.156300,8.730900
node[221],10.0.65.211,30.006700,41.774800,11.768100
node[221],10.0.0.9,30.006700,60.783200,30.776500
node[221],10.0.0.9,67.426500,95.488300,28.061800
node[155],10.0.65.211,30.006700,51.545200,21.538500
node[155],10.0.0.9,30.006700,95.326800,65.320100
node[155],10.0.0.9,100.360000,107.175000,6.815000
node[248],10.0.27.210,30.007000,40.182300,10.175300
node[265],10.0.27.210,30.007000,35.899900,5.892900
node[202],10.0.27.210,30.007000,40.182300,10.175300
node[202],10.0.0.9,30.007000,59.678400,29.671400
node[202],10.0.0.9,67.427600,95.247300,27.819700
node[130],10.0.27.210,30.007000,36.664600,6.657600
rsu[0],10.0.27.210,30.007000,51.705500,21.698500
node[282],10.0.27.210,30.007000,42.167500,12.160500
node[282],10.0.0.9,30.007000,92.044200,62.037200
node[265],10.0.35.94,30.008000,71.196000,41.188000
node[282],10.0.35.94,30.008000,40.684500,10.676500
node[282],10.0.35.94,69.196000,71.196000,2.000000
node[256],10.0.35.94,30.008000,45.126000,15.118000
rsu[0],10.0.35.94,30.008000,55.104200,25.096200
node[102],10.0.35.94,30.008000,34.904100,4.896100
node[248],10.0.35.94,30.008000,52.730300,22.722300
node[248],10.0.35.94,57.896800,71.196000,13.299200
node[96],10.0.35.94,30.008000,34.185300,4.177300
node[96],10.0.0.9,30.008000,59.678400,29.670400
node[96],10.0.0.9,67.427600,97.901900,30.474300
node[260],10.0.25.239,30.009200,39.927200,9.918000
node[32],10.0.25.239,30.009200,41.053400,11.044200
node[221],10.0.25.239,30.009200,39.927200,9.918000
node[221],10.0.25.239,56.939800,72.770100,15.830300
node[243],10.0.25.239,30.009200,37.295100,7.285900
node[35],10.0.25.239,30.009200,50.371300,20.362100
node[7],10.0.25.239,30.009200,53.893700,23.884500
node[7],10.0.25.239,106.026000,118.669000,12.643000
node[254],10.0.25.239,30.009200,53.893700,23.884500
node[155],10.0.25.239,30.009200,34.432300,4.423100
node[142],10.0.25.239,30.009200,36.296000,6.286800
node[221],10.0.8.244,30.020100,49.296300,19.276200
node[95],10.0.8.244,30.020100,38.652800,8.632700
node[260],10.0.8.244,30.020100,38.425500,8.405400
node[155],10.0.8.244,30.020100,68.704900,38.684800
node[142],10.0.8.244,30.020100,58.311800,28.291700
node[243],10.0.8.244,30.020100,52.129700,22.109600
node[252],10.0.8.244,30.020100,71.236900,41.216800
node[35],10.0.8.244,30.020100,34.908700,4.888600
node[276],10.0.8.244,30.020100,72.291200,42.271100
node[32],10.0.59.229,30.032300,48.823900,18.791600
node[142],10.0.59.229,30.032300,57.836500,27.804200
node[260],10.0.59.229,30.032300,40.587900,10.555600
node[95],10.0.59.229,30.032300,39.133600,9.101300
node[95],10.0.59.229,56.319300,76.715300,20.396000
node[155],10.0.59.229,30.032300,38.214400,8.182100
node[276],10.0.59.229,30.032300,48.823900,18.791600
node[252],10.0.59.229,30.032300,47.047000,17.014700
node[243],10.0.59.229,30.032300,38.214400,8.182100
node[151],10.0.59.229,30.032300,32.567600,2.535300
node[7],10.0.68.202,30.195500,50.808400,20.612900
node[206],10.0.68.202,30.195500,46.671300,16.475800
node[125],10.0.68.202,30.195500,37.819900,7.624400
node[260],10.0.68.202,30.195500,39.989600,9.794100
node[13],10.0.68.202,30.195500,49.154300,18.958800
node[56],10.0.68.202,30.195500,47.402300,17.206800
node[95],10.0.68.202,30.195500,43.650900,13.455400
node[50],10.0.68.202,30.195500,50.808400,20.612900
node[188],10.0.68.202,30.195500,36.522200,6.326700
node[18],10.0.68.202,30.195500,52.699000,22.503500
node[169],10.0.68.202,30.195500,36.920100,6.724600
node[50],10.0.3.213,30.200800,45.018500,14.817700
node[56],10.0.3.213,30.200800,65.841200,35.640400
node[18],10.0.3.213,30.200800,38.914600,8.713800
node[188],10.0.3.213,30.200800,53.463900,23.263100
node[103],10.0.3.213,30.200800,47.382600,17.181800
node[169],10.0.3.213,30.200800,42.111300,11.910500
node[125],10.0.3.213,30.200800,49.692200,19.491400
node[99],10.0.3.213,30.200800,40.301800,10.101000
node[254],10.0.3.213,30.200800,50.179300,19.978500
node[7],10.0.3.213,30.200800,65.841200,35.640400
node[231],10.0.3.213,30.200800,49.896200,19.695400
node[231],10.0.3.213,61.983000,69.095700,7.112700
node[103],10.0.27.3,30.246500,51.228300,20.981800
node[50],10.0.27.3,30.246500,51.228300,20.981800
node[56],10.0.27.3,30.246500,39.310000,9.063500
node[188],10.0.27.3,30.246500,39.310000,9.063500
node[13],10.0.27.3,30.246500,40.902100,10.655600
node[169],10.0.27.3,30.246500,37.048000,6.801500
node[231],10.0.27.3,30.246500,49.440600,19.194100
node[18],10.0.27.3,30.246500,47.583700,17.337200
node[5],10.0.27.3,30.246500,36.537300,6.290800
node[188],10.0.28.23,30.260700,89.159400,58.898700
node[169],10.0.28.23,30.260700,40.695000,10.434300
node[56],10.0.28.23,30.260700,46.961400,16.700700
node[50],10.0.28.23,30.260700,62.734400,32.473700
node[13],10.0.28.23,30.260700,47.026400,16.765700
node[99],10.0.28.23,30.260700,55.758200,25.497500
node[125],10.0.28.23,30.260700,86.866400,56.605700
node[18],10.0.28.23,30.260700,56.603200,26.342500
node[5],10.0.28.23,30.260700,36.412600,6.151900
