Node,PDR,RREQ_Count,LinkBreak_Count,AvgSpeed,AvgDensity
0,41.5942,32586,197,3.1111213404529554,0.0003961204619775363
4,81.4493,61628,176,4.713831375348867,0.0006001837759459985
6,68.6957,130426,394,4.191771579286339,0.0005337131632803275
7,87.8261,42748,119,7.482502105361655,0.0009527022544680453
9,29.5652,229189,887,5.610264890548848,0.0007143213961926623
10,60.7246,118309,257,5.724044662705289,0.0007288082867406539
11,45.2174,123555,409,5.503848488527376,0.0007007720007122334
17,40.0,201007,642,5.410413567686698,0.0006888755052610107
19,23.913,207696,857,5.273091441337339,0.0006713911282547568
20,45.942,56847,163,6.204144457930937,0.000789936603409151
