Node,Time,Legacy,Proposed
N0,30,0.0,0.0
N0,31,0.0,0.0
N0,32,0.0,0.0
N0,33,0.0,0.0
N0,34,3.4285714285714284,0.0
N0,35,31.0,0.0
N0,36,26.5,0.0
N0,37,0.0,0.0
N0,38,0.0,0.0
N0,39,0.0,0.0
N0,40,0.0,1.0
N0,41,0.0,0.0
N0,42,3.0,1.5714285714285714
N0,43,13.5,0.0
N0,44,3.125,16.0
N0,45,0.6666666666666666,43.5
N0,46,0.0,7.0
N0,47,2.0,0.0
N0,48,0.0,0.0
N0,49,0.0,3.0
N0,50,2.1666666666666665,0.0
N0,51,0.0,0.0
N0,52,0.0,6.0
N0,53,15.0,4.0
N0,54,0.0,0.9411764705882353
N0,55,8.5,0.0
N0,56,0.0,0.0
N0,57,2.5,2.5
N0,58,0.0,0.0
N0,59,0.0,0.8
N0,60,0.0,4.5
N0,61,0.0,0.0
N0,62,0.0,0.0
N0,63,1.3333333333333333,0.0
N0,64,0.0,0.0
N0,65,9.0,0.0
N0,66,0.0,5.0
N0,67,10.0,0.0
N0,68,0.0,7.0
N0,69,2.0,6.5
N0,70,0.0,16.0
N0,71,0.0,0.0
N0,72,0.0,0.0
N0,73,0.0,0.0
N0,74,0.0,0.0
N0,75,0.0,0.0
N0,76,0.0,0.0
N0,77,0.0,3.0
N0,78,0.0,0.0
N0,79,0.0,0.0
N0,80,0.0,0.0
N0,81,0.0,0.0
N0,82,0.0,0.0
N0,83,0.0,0.0
N0,84,0.0,0.0
N0,85,0.0,0.0
N0,86,0.0,0.0
N0,87,0.0,0.0
N0,88,0.0,3.5
N0,89,0.0,0.0
N0,90,0.0,0.0
N0,91,0.0,0.0
N0,92,2.0,0.0
N0,93,0.0,0.0
N0,94,0.0,0.0
N0,95,0.0,0.0
N0,96,0.0,0.0
N0,97,0.0,0.0
N0,98,0.0,0.0
N0,99,0.0,0.0
N0,100,0.0,0.0
N2,30,0.0,0.0
N2,31,0.0,0.0
N2,32,0.0,0.0
N2,33,0.0,0.0
N2,34,4.0,23.0
N2,35,0.0,0.0
N2,36,0.0,0.0
N2,37,8.5,0.0
N2,38,0.0,0.0
N2,39,0.0,0.0
N2,40,0.0,0.0
N2,41,0.0,0.0
N2,42,8.0,0.0
N2,43,2.3333333333333335,0.0
N2,44,0.0,0.0
N2,45,0.0,0.0
N2,46,8.0,4.0
N2,47,0.0,0.0
N2,48,0.0,71.0
N2,49,0.0,1.75
N2,50,0.0,0.0
N2,51,0.0,0.0
N2,52,2.5,0.6666666666666666
N2,53,3.25,0.0
N2,54,32.0,0.0
N2,55,1.9090909090909092,0.0
N2,56,5.0,11.0
N2,57,5.0625,15.2
N2,58,0.0,15.142857142857142
N2,59,0.0,1.875
N2,60,0.0,1.0
N2,61,0.0,0.0
N2,62,0.0,1.5
N2,63,0.0,0.0
N2,64,0.0,0.0
N2,65,1.0,0.0
N2,66,0.0,0.0
N2,67,2.0,0.0
N2,68,0.0,0.0
N2,69,0.0,0.0
N2,70,0.0,6.0
N2,71,0.0,0.0
N2,72,0.0,0.0
N2,73,0.0,0.0
N2,74,0.0,0.0
N2,75,0.0,0.0
N2,76,0.0,0.0
N2,77,0.0,0.0
N2,78,0.0,0.0
N2,79,0.0,0.0
N2,80,0.0,2.5
N2,81,0.0,0.0
N2,82,0.0,0.0
N2,83,0.0,0.0
N2,84,2.3333333333333335,0.0
N2,85,0.0,5.0
N2,86,0.0,0.0
N2,87,0.0,5.333333333333333
N2,88,0.0,0.0
N2,89,0.0,0.0
N2,90,2.3333333333333335,0.36363636363636365
N2,91,0.0,15.0
N2,92,0.0,0.0
N2,93,4.0,1.0
N2,94,2.7142857142857144,0.0
N2,95,8.777777777777779,0.0
N2,96,6.142857142857143,0.0
N2,97,9.8,5.625
N2,98,0.0,10.857142857142858
N2,99,0.0,0.0
N2,100,0.0,0.0
N3,30,0.0,0.0
N3,31,0.0,0.0
N3,32,0.0,0.0
N3,33,0.0,0.0
N3,34,8.0,8.0
N3,35,0.0,0.0
N3,36,5.0,5.0
N3,37,5.0,5.0
N3,38,0.0,0.0
N3,39,8.0,14.0
N3,40,13.333333333333334,11.0
N3,41,4.0,0.0
N3,42,102.0,0.0
N3,43,5.285714285714286,17.0
N3,44,2.5833333333333335,26.0
N3,45,9.181818181818182,0.0
N3,46,8.571428571428571,0.0
N3,47,0.0,28.75
N3,48,0.0,0.0
N3,49,2.7,3.6666666666666665
N3,50,2.0,12.5
N3,51,0.0,0.6875
N3,52,0.0,4.4
N3,53,0.0,13.5
N3,54,0.0,0.0
N3,55,1.4705882352941178,0.0
N3,56,0.0,4.25
N3,57,0.0,0.0
N3,58,0.0,0.0
N3,59,0.0,0.0
N3,60,0.0,0.0
N3,61,0.0,0.0
N3,62,0.0,0.0
N3,63,0.0,0.0
N3,64,0.0,0.0
N3,65,2.5,3.75
N3,66,25.5,1.2
N3,67,16.333333333333332,9.0
N3,68,2.0,0.0
N3,69,0.0,0.0
N3,70,10.0,5.0
N3,71,0.0,0.0
N3,72,0.0,0.0
N3,73,0.0,0.0
N3,74,0.0,0.0
N3,75,1.25,0.8
N3,76,11.0,0.0
N3,77,0.0,2.75
N3,78,1.263157894736842,0.0
N3,79,12.0,44.0
N3,80,0.0,0.0
N3,81,4.0,0.0
N3,82,0.0,0.5
N3,83,1.3333333333333333,9.0
N3,84,0.0,3.0833333333333335
N3,85,3.8,18.0
N3,86,0.0,4.666666666666667
N3,87,30.0,15.5
N3,88,0.0,23.5
N3,89,0.0,0.0
N3,90,0.0,0.0
N3,91,0.0,6.2
N3,92,0.0,0.0
N3,93,0.0,6.0
N3,94,0.0,2.6666666666666665
N3,95,0.0,0.0
N3,96,0.0,13.0
N3,97,0.0,3.2
N3,98,0.0,5.25
N3,99,0.0,0.0
N3,100,0.0,0.0
N27,30,0.0,0.0
N27,31,0.0,0.0
N27,32,0.0,0.0
N27,33,0.0,0.0
N27,34,26.5,23.5
N27,35,21.0,0.0
N27,36,0.0,0.0
N27,37,0.0,4.0
N27,38,0.0,0.0
N27,39,4.0,0.0
N27,40,2.6666666666666665,0.0
N27,41,11.0,0.0
N27,42,0.0,0.0
N27,43,8.0,0.0
N27,44,0.0,0.0
N27,45,3.5,4.0
N27,46,0.0,0.0
N27,47,0.0,0.0
N27,48,0.0,0.0
N27,49,4.5,4.0
N27,50,0.0,0.0
N27,51,0.0,5.0
N27,52,0.0,0.0
N27,53,0.0,3.0
N27,54,0.0,0.0
N27,55,3.3333333333333335,0.0
N27,56,0.0,0.0
N27,57,0.0,0.0
N27,58,2.25,0.0
N27,59,0.0,0.0
N27,60,0.0,0.0
N27,61,0.0,0.0
N27,62,0.0,0.0
N27,63,0.0,0.0
N27,64,0.0,3.3333333333333335
N27,65,0.0,0.0
N27,66,5.0,1.6666666666666667
N27,67,0.0,9.5
N27,68,2.0,7.666666666666667
N27,69,0.0,0.0
N27,70,84.0,0.0
N27,71,39.0,0.0
N27,72,0.0,0.0
N27,73,0.0,0.0
N27,74,0.0,0.0
N27,75,0.0,0.0
N27,76,0.0,0.0
N27,77,0.0,0.0
N27,78,0.0,0.0
N27,79,5.0,0.0
N27,80,9.0,0.0
N27,81,6.0,5.0
N27,82,11.0,0.0
N27,83,32.5,1.25
N27,84,8.2,0.0
N27,85,3.0,11.0
N27,86,0.0,60.0
N27,87,0.0,0.0
N27,88,0.0,0.0
N27,89,0.0,0.0
N27,90,0.0,5.0
N27,91,0.0,0.0
N27,92,0.0,2.3333333333333335
N27,93,4.0,8.0
N27,94,0.0,0.0
N27,95,0.0,2.3333333333333335
N27,96,0.0,0.0
N27,97,31.0,0.0
N27,98,9.5,0.0
N27,99,32.4,0.0
N27,100,0.0,0.0
N14,30,0.0,0.0
N14,31,7.333333333333333,0.0
N14,32,0.0,0.0
N14,33,0.0,3.5
N14,34,5.0,0.0
N14,35,9.333333333333334,0.0
N14,36,8.181818181818182,4.0
N14,37,0.0,0.0
N14,38,0.0,12.0
N14,39,0.0,9.0
N14,40,0.0,0.0
N14,41,0.0,0.0
N14,42,0.0,1.2
N14,43,0.0,0.0
N14,44,9.0,0.0
N14,45,0.0,3.3333333333333335
N14,46,6.0,3.0
N14,47,0.0,0.0
N14,48,0.0,0.0
N14,49,5.0,2.3333333333333335
N14,50,0.0,0.0
N14,51,0.0,3.5
N14,52,0.0,0.0
N14,53,4.5,0.0
N14,54,0.0,0.0
N14,55,0.0,0.0
N14,56,0.0,2.5
N14,57,0.0,0.0
N14,58,0.0,0.0
N14,59,0.0,0.0
N14,60,0.0,0.0
N14,61,0.0,0.0
N14,62,4.0,2.3333333333333335
N14,63,0.0,0.0
N14,64,0.0,0.0
N14,65,5.0,5.0
N14,66,0.0,0.0
N14,67,13.0,0.0
N14,68,9.0,1.0
N14,69,0.0,0.0
N14,70,1.4,0.0
N14,71,17.0,0.0
N14,72,0.0,0.0
N14,73,0.0,0.0
N14,74,1.1666666666666667,0.0
N14,75,0.0,0.0
N14,76,0.0,1.75
N14,77,0.0,0.0
N14,78,0.0,0.0
N14,79,0.0,0.0
N14,80,0.0,0.0
N14,81,0.0,0.0
N14,82,0.0,0.0
N14,83,0.0,0.0
N14,84,0.0,0.0
N14,85,0.0,0.0
N14,86,0.0,0.0
N14,87,0.0,0.0
N14,88,0.0,0.0
N14,89,0.0,0.0
N14,90,0.0,0.0
N14,91,0.0,0.0
N14,92,0.0,0.0
N14,93,2.0,2.0
N14,94,0.0,0.0
N14,95,0.0,0.0
N14,96,0.0,0.0
N14,97,2.0,2.0
N14,98,0.0,0.0
N14,99,0.0,0.0
N14,100,0.0,0.0
N16,30,0.0,0.0
N16,31,0.0,0.0
N16,32,0.0,0.0
N16,33,0.0,0.0
N16,34,0.0,1.0
N16,35,0.0,0.0
N16,36,0.0,10.5
N16,37,10.0,11.5
N16,38,0.0,0.0
N16,39,0.0,9.0
N16,40,0.0,0.0
N16,41,0.0,65.5
N16,42,37.0,0.0
N16,43,0.0,0.0
N16,44,0.0,0.0
N16,45,0.0,0.0
N16,46,4.0,9.0
N16,47,0.0,0.0
N16,48,0.0,0.0
N16,49,5.0,2.25
N16,50,0.0,0.0
N16,51,4.714285714285714,0.0
N16,52,8.0,0.0
N16,53,0.0,0.0
N16,54,0.0,0.0
N16,55,0.0,0.0
N16,56,0.0,0.0
N16,57,0.0,0.0
N16,58,0.0,0.0
N16,59,3.2,0.0
N16,60,0.0,0.0
N16,61,0.0,0.0
N16,62,1.0,0.0
N16,63,0.0,0.0
N16,64,5.2,0.0
N16,65,10.5,0.0
N16,66,0.0,2.0
N16,67,23.2,0.0
N16,68,49.0,9.0
N16,69,0.0,0.0
N16,70,0.0,0.0
N16,71,3.6666666666666665,0.0
N16,72,8.0,0.0
N16,73,3.4545454545454546,0.0
N16,74,22.8,0.0
N16,75,7.8,0.0
N16,76,0.0,0.0
N16,77,0.0,0.0
N16,78,0.0,0.0
N16,79,3.3333333333333335,0.0
N16,80,0.0,0.0
N16,81,0.0,2.0
N16,82,0.0,10.5
N16,83,0.7,0.0
N16,84,0.0,0.0
N16,85,0.0,7.5
N16,86,3.5,4.333333333333333
N16,87,4.5,0.0
N16,88,0.0,4.0
N16,89,14.666666666666666,0.0
N16,90,0.0,0.0
N16,91,0.0,0.0
N16,92,0.0,0.0
N16,93,7.0,7.0
N16,94,0.0,1.0
N16,95,0.0,5.6
N16,96,0.0,0.0
N16,97,0.0,2.8333333333333335
N16,98,0.0,0.0
N16,99,0.0,2.7666666666666666
N16,100,0.0,0.0
N18,30,0.0,0.0
N18,31,54.0,0.0
N18,32,26.0,0.0
N18,33,0.0,0.0
N18,34,10.0,0.0
N18,35,0.0,0.0
N18,36,0.8333333333333334,0.0
N18,37,0.0,10.0
N18,38,0.0,5.0
N18,39,2.25,0.0
N18,40,0.0,1.6666666666666667
N18,41,5.0,35.0
N18,42,0.0,6.666666666666667
N18,43,0.0,0.0
N18,44,0.0,0.0
N18,45,0.0,6.0
N18,46,7.0,0.0
N18,47,0.0,7.0
N18,48,0.0,0.0
N18,49,4.0,4.5
N18,50,0.0,0.0
N18,51,0.0,0.0
N18,52,28.0,0.4444444444444444
N18,53,10.166666666666666,0.0
N18,54,24.333333333333332,0.0
N18,55,0.0,0.0
N18,56,0.0,0.0
N18,57,0.0,3.3333333333333335
N18,58,0.0,0.0
N18,59,2.0,2.0
N18,60,0.0,0.0
N18,61,0.0,0.0
N18,62,0.0,0.0
N18,63,9.0,0.0
N18,64,0.0,0.0
N18,65,10.0,0.0
N18,66,5.0,3.5
N18,67,11.0,0.0
N18,68,0.0,0.0
N18,69,17.0,1.3333333333333333
N18,70,0.0,0.0
N18,71,0.3,0.0
N18,72,0.0,0.0
N18,73,0.0,5.888888888888889
N18,74,46.0,0.0
N18,75,58.0,12.4
N18,76,0.0,0.0
N18,77,0.0,0.0
N18,78,0.0,0.0
N18,79,1.3333333333333333,0.5
N18,80,0.0,0.0
