Node,Protocol,Destination,StartTime,EndTime,Duration
N0,Legacy,10.0.0.9,30.000701538029,30.324034611194,0.3233330731650028
N0,Legacy,10.0.0.9,30.324034611194,30.324339990452,0.0003053792579983394
N0,Legacy,10.0.0.9,30.324339990452,30.325086897414,0.0007469069620000823
N0,Legacy,10.0.0.9,30.325086897414,30.325301018123,0.00021412070899984315
N0,Legacy,10.0.0.9,30.325301018123,30.326826410245,0.0015253921220015343
N0,Legacy,10.0.0.9,30.326826410245,30.328784622934,0.0019582126889972074
N0,Legacy,10.0.0.9,30.328784622934,30.800280445408,0.4714958224740009
N0,Legacy,10.0.0.9,30.800280445408,30.80055980339,0.00027935798200218187
N0,Legacy,10.0.0.9,30.80055980339,30.800987749079,0.00042794568899751084
N0,Legacy,10.0.0.9,30.800987749079,30.801844700519,0.0008569514399994205
N0,Legacy,10.0.0.9,30.801844700519,30.802611521138,0.0007668206190025728
N0,Legacy,10.0.0.9,30.802611521138,30.802890917522,0.0002793963839984315
N0,Legacy,10.0.0.9,30.802890917522,30.803255855579,0.0003649380570003302
N0,Legacy,10.0.0.9,30.803255855579,30.803385822748,0.0001299671690020432
N0,Legacy,10.0.0.9,30.803385822748,30.803786475008,0.00040065225999796894
N0,Legacy,10.0.0.9,30.803786475008,30.805181694058,0.0013952190499999517
N0,Legacy,10.0.0.9,30.805181694058,30.805293386971,0.00011169291300205941
N0,Legacy,10.0.0.9,30.805293386971,30.8056634158,0.00037002882899983547
N0,Legacy,10.0.0.9,30.8056634158,30.806106008384,0.0004425925839974809
N0,Legacy,10.0.0.9,30.806106008384,30.806849888179,0.000743879794999458
N0,Legacy,10.0.0.9,30.806849888179,30.807355624628,0.0005057364489999827
N0,Legacy,10.0.0.9,30.807355624628,30.807745473912,0.0003898492840015422
N0,Legacy,10.0.0.9,30.807745473912,30.808240546124,0.0004950722120007356
N0,Legacy,10.0.0.9,30.808240546124,30.8082475547,7.0085759986682206e-06
N0,Legacy,10.0.0.9,30.8082475547,30.808702001531,0.0004544468310001548
N0,Legacy,10.0.0.9,30.808702001531,30.808864359184,0.0001623576530001003
N0,Legacy,10.0.0.9,30.808864359184,30.809104791678,0.0002404324939995206
N0,Legacy,10.0.0.9,30.809104791678,30.809700456714,0.0005956650360019466
N0,Legacy,10.0.0.9,30.809700456714,30.810535933988,0.0008354772739984639
N0,Legacy,10.0.0.9,30.810535933988,30.812120769351,0.0015848353630012468
N0,Legacy,10.0.0.9,30.812120769351,31.44099426384,0.6288734944889995
N0,Legacy,10.0.0.9,31.44099426384,31.441299499993,0.00030523615300026563
N0,Legacy,10.0.0.9,31.441299499993,31.44244352487,0.0011440248770000494
N0,Legacy,10.0.0.9,31.44244352487,31.443097491842,0.0006539669719991537
N0,Legacy,10.0.0.9,31.443097491842,31.443591191881,0.00049370003900151
N0,Legacy,10.0.0.9,31.443591191881,31.443993753402,0.0004025615209997113
N0,Legacy,10.0.0.9,31.443993753402,31.443993931088,1.7768599747114422e-07
N0,Legacy,10.0.0.9,31.443993931088,31.444233977487,0.00024004639899999347
N0,Legacy,10.0.0.9,31.444233977487,31.444824977793,0.0005910003060023428
N0,Legacy,10.0.0.9,31.444824977793,31.444859937353,3.495956000065803e-05
N0,Legacy,10.0.0.9,31.444859937353,31.445403187316,0.0005432499629982601
N0,Legacy,10.0.0.9,31.445403187316,31.446177158328,0.0007739710119984977
N0,Legacy,10.0.0.9,31.446177158328,31.446217209372,4.005104400306436e-05
N0,Legacy,10.0.0.9,31.446217209372,31.446610620274,0.00039341090199940254
N0,Legacy,10.0.0.9,31.446610620274,31.446788948694,0.00017832841999876337
N0,Legacy,10.0.0.9,31.446788948694,31.447497313418,0.0007083647240015978
N0,Legacy,10.0.0.9,31.447497313418,31.447770826339,0.0002735129209980869
N0,Legacy,10.0.0.9,31.447770826339,31.447789482038,1.8655699001612902e-05
N0,Legacy,10.0.0.9,31.447789482038,31.447949721844,0.00016023980600010646
N0,Legacy,10.0.0.9,31.447949721844,31.447972745302,2.3023457998760932e-05
N0,Legacy,10.0.0.9,31.447972745302,31.448055747769,8.30024670008811e-05
N0,Legacy,10.0.0.9,31.448055747769,31.44817154683,0.0001157990609996773
N0,Legacy,10.0.0.9,31.44817154683,31.448255312378,8.376554799838232e-05
N0,Legacy,10.0.0.9,31.448255312378,31.448512170734,0.00025685835599986717
N0,Legacy,10.0.0.9,31.448512170734,31.448593545547,8.137481299996807e-05
N0,Legacy,10.0.0.9,31.448593545547,31.448991978319,0.00039843277200191096
N0,Legacy,10.0.0.9,31.448991978319,31.44923898243,0.000247004110999427
