destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.0.9, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.0.9, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.0.9, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.0.9, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.0.9, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.0.9, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.0.9, metric = 1, interface = wlan0
destination = 10.0.35.94, prefixLength = 32, nextHop = 10.0.35.94, metric = 1, interface = wlan0
destination = 10.0.35.94, prefixLength = 32, nextHop = 10.0.35.94, metric = 1, interface = wlan0
destination = 10.0.35.94, prefixLength = 32, nextHop = 10.0.35.94, metric = 1, interface = wlan0
destination = 10.0.35.94, prefixLength = 32, nextHop = 10.0.35.94, metric = 1, interface = wlan0
destination = 10.0.35.94, prefixLength = 32, nextHop = 10.0.35.94, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.35.94, metric = 2, interface = wlan0
destination = 10.0.35.94, prefixLength = 32, nextHop = 10.0.35.94, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.35.94, metric = 2, interface = wlan0
destination = 10.0.35.94, prefixLength = 32, nextHop = 10.0.35.94, metric = 1, interface = wlan0
destination = 10.0.35.94, prefixLength = 32, nextHop = 10.0.35.94, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.35.94, metric = 2, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.9.195, metric = 2, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.9.195, metric = 2, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.9.195, metric = 2, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.9.195, metric = 2, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.9.195, metric = 2, interface = wlan0
destination = 10.0.29.43, prefixLength = 32, nextHop = 10.0.29.43, metric = 1, interface = wlan0
destination = 10.0.29.43, prefixLength = 32, nextHop = 10.0.29.43, metric = 1, interface = wlan0
destination = 10.0.29.43, prefixLength = 32, nextHop = 10.0.29.43, metric = 1, interface = wlan0
destination = 10.0.29.43, prefixLength = 32, nextHop = 10.0.29.43, metric = 1, interface = wlan0
destination = 10.0.29.43, prefixLength = 32, nextHop = 10.0.29.43, metric = 1, interface = wlan0
destination = 10.0.29.43, prefixLength = 32, nextHop = 10.0.29.43, metric = 1, interface = wlan0
destination = 10.0.29.43, prefixLength = 32, nextHop = 10.0.29.43, metric = 1, interface = wlan0
destination = 10.0.29.43, prefixLength = 32, nextHop = 10.0.29.43, metric = 1, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.4.26, metric = 3, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.4.26, metric = 3, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.4.26, metric = 3, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.4.26, metric = 3, interface = wlan0
destination = 10.0.4.26, prefixLength = 32, nextHop = 10.0.4.26, metric = 1, interface = wlan0
