Node,Destination,Lifetime_Start,Lifetime_End,Duration
node[35],10.0.0.9,30.003700,59.784300,29.780600
node[265],10.0.0.9,30.003700,67.003200,36.999500
node[243],10.0.0.9,30.003700,59.708700,29.705000
node[130],10.0.0.9,30.003700,57.342400,27.338700
node[102],10.0.0.9,30.003700,59.783800,29.780100
node[248],10.0.0.9,30.003700,59.784300,29.780600
node[256],10.0.0.9,30.003700,59.706300,29.702600
node[243],10.0.9.195,30.006100,38.427900,8.421800
rsu[0],10.0.9.195,30.006100,46.422300,16.416200
node[95],10.0.9.195,30.006100,55.909400,25.903300
node[95],10.0.0.9,30.006100,48.862300,18.856200
node[32],10.0.9.195,30.006100,35.547100,5.541000
node[265],10.0.35.94,30.006700,73.127800,43.121100
node[282],10.0.35.94,30.006700,42.903600,12.896900
node[282],10.0.35.94,69.365100,74.968100,5.603000
node[256],10.0.35.94,30.006700,47.922800,17.916100
rsu[0],10.0.35.94,30.006700,57.344300,27.337600
node[102],10.0.35.94,30.006700,35.542800,5.536100
node[248],10.0.35.94,30.006700,53.995400,23.988700
node[96],10.0.35.94,30.006700,33.901000,3.894300
node[96],10.0.0.9,30.006700,35.765300,5.758600
node[248],10.0.27.210,30.008000,42.901600,12.893600
node[265],10.0.27.210,30.008000,37.304000,7.296000
node[202],10.0.27.210,30.008000,41.901200,11.893200
node[202],10.0.0.9,30.008000,48.630500,18.622500
node[130],10.0.27.210,30.008000,35.546300,5.538300
rsu[0],10.0.27.210,30.008000,50.729000,20.721000
node[282],10.0.27.210,30.008000,42.901600,12.893600
node[260],10.0.25.239,30.009200,41.128600,11.119400
node[32],10.0.25.239,30.009200,39.755800,9.746600
node[221],10.0.25.239,30.009200,39.890500,9.881300
node[221],10.0.25.239,57.764400,59.764400,2.000000
node[243],10.0.25.239,30.009200,38.430900,8.421700
node[35],10.0.25.239,30.009200,55.424100,25.414900
node[7],10.0.25.239,30.009200,55.908300,25.899100
node[7],10.0.25.239,106.410000,118.427000,12.017000
node[254],10.0.25.239,30.009200,55.424100,25.414900
node[155],10.0.25.239,30.009200,34.901200,4.892000
node[142],10.0.25.239,30.009200,34.901200,4.892000
node[221],10.0.8.244,30.020100,50.102900,20.082800
node[95],10.0.8.244,30.020100,37.310200,7.290100
node[260],10.0.8.244,30.020100,38.432100,8.412000
node[155],10.0.8.244,30.020100,69.902000,39.881900
node[142],10.0.8.244,30.020100,59.949900,29.929800
node[243],10.0.8.244,30.020100,50.406300,20.386200
node[252],10.0.8.244,30.020100,79.959500,49.939400
node[35],10.0.8.244,30.020100,35.549900,5.529800
node[276],10.0.8.244,30.020100,80.902700,50.882600
node[32],10.0.59.229,30.032300,48.470400,18.438100
node[142],10.0.59.229,30.032300,58.975800,28.943500
node[260],10.0.59.229,30.032300,42.906700,12.874400
node[95],10.0.59.229,30.032300,38.941600,8.909300
node[95],10.0.59.229,56.975800,58.975800,2.000000
node[155],10.0.59.229,30.032300,43.544400,13.512100
node[276],10.0.59.229,30.032300,50.280600,20.248300
node[252],10.0.59.229,30.032300,44.347800,14.315500
node[243],10.0.59.229,30.032300,44.347800,14.315500
node[151],10.0.59.229,30.032300,32.032300,2.000000
node[7],10.0.68.202,30.195500,44.349800,14.154300
node[206],10.0.68.202,30.195500,44.349800,14.154300
node[125],10.0.68.202,30.195500,35.884600,5.689100
node[260],10.0.68.202,30.195500,39.419100,9.223600
node[13],10.0.68.202,30.195500,44.349800,14.154300
node[56],10.0.68.202,30.195500,44.349800,14.154300
node[95],10.0.68.202,30.195500,44.349800,14.154300
node[50],10.0.68.202,30.195500,49.945400,19.749900
node[188],10.0.68.202,30.195500,35.884600,5.689100
node[18],10.0.68.202,30.195500,53.908100,23.712600
node[169],10.0.68.202,30.195500,33.954000,3.758500
node[50],10.0.3.213,30.200800,44.350100,14.149300
node[56],10.0.3.213,30.200800,65.283400,35.082600
node[18],10.0.3.213,30.200800,38.582300,8.381500
node[188],10.0.3.213,30.200800,50.856300,20.655500
node[103],10.0.3.213,30.200800,46.422500,16.221700
node[169],10.0.3.213,30.200800,38.582300,8.381500
node[125],10.0.3.213,30.200800,48.996500,18.795700
node[99],10.0.3.213,30.200800,41.131400,10.930600
node[254],10.0.3.213,30.200800,46.422500,16.221700
node[7],10.0.3.213,30.200800,65.283400,35.082600
node[231],10.0.3.213,30.200800,46.422500,16.221700
node[103],10.0.27.3,30.246500,53.913200,23.666700
node[50],10.0.27.3,30.246500,53.913200,23.666700
node[56],10.0.27.3,30.246500,39.757500,9.511000
node[188],10.0.27.3,30.246500,39.757500,9.511000
node[13],10.0.27.3,30.246500,40.101600,9.855100
node[169],10.0.27.3,30.246500,35.555000,5.308500
node[231],10.0.27.3,30.246500,50.468700,20.222200
node[18],10.0.27.3,30.246500,46.725000,16.478500
node[5],10.0.27.3,30.246500,34.908500,4.662000
node[188],10.0.28.23,30.260700,83.352600,53.091900
node[169],10.0.28.23,30.260700,41.133700,10.873000
node[56],10.0.28.23,30.260700,45.309300,15.048600
node[50],10.0.28.23,30.260700,61.524900,31.264200
node[13],10.0.28.23,30.260700,45.309300,15.048600
node[99],10.0.28.23,30.260700,45.309300,15.048600
node[125],10.0.28.23,30.260700,88.884200,58.623500
node[18],10.0.28.23,30.260700,58.077100,27.816400
node[5],10.0.28.23,30.260700,36.355600,6.094900
node[206],10.0.28.23,30.260700,45.309300,15.048600
node[152],10.0.28.23,30.260700,37.313700,7.053000
node[95],10.0.70.104,30.262800,40.976100,10.713300
node[32],10.0.70.104,30.262800,37.242000,6.979200
node[221],10.0.70.104,30.262800,40.976100,10.713300
node[254],10.0.70.104,30.262800,40.976100,10.713300
node[7],10.0.70.104,30.262800,34.032000,3.769200
node[142],10.0.70.104,30.262800,35.569300,5.306500
node[243],10.0.70.104,30.262800,32.262800,2.000000
node[276],10.0.70.104,30.262800,37.242000,6.979200
node[155],10.0.70.104,30.262800,32.262800,2.000000
node[251],10.0.62.151,30.280700,55.186400,24.905700
node[267],10.0.62.151,30.280700,55.186400,24.905700
node[65],10.0.62.151,30.280700,55.186400,24.905700
node[163],10.0.62.151,30.280700,55.186400,24.905700
node[99],10.0.62.151,30.280700,50.021100,19.740400
node[257],10.0.62.151,30.280700,46.423400,16.142700
node[18],10.0.62.151,30.280700,50.021100,19.740400
node[273],10.0.62.151,30.280700,37.729200,7.448500
node[50],10.0.62.151,30.280700,51.737900,21.457200
node[13],10.0.62.151,30.280700,48.322500,18.041800
node[271],10.0.41.76,30.282500,43.550000,13.267500
node[5],10.0.41.76,30.282500,48.367000,18.084500
node[212],10.0.41.76,30.282500,51.919300,21.636800
node[33],10.0.41.76,30.282500,44.351700,14.069200
node[169],10.0.41.76,30.282500,43.550000,13.267500
node[103],10.0.41.76,30.282500,36.353400,6.070900
node[188],10.0.41.76,30.282500,36.353400,6.070900
node[248],10.0.54.198,30.293000,37.472200,7.179200
node[248],10.0.54.198,97.016000,119.543000,22.527000
node[265],10.0.54.198,30.293000,32.293000,2.000000
node[14],10.0.26.52,30.325800,106.059000,75.733200
node[14],10.0.0.9,30.325800,35.685800,5.360000
node[263],10.0.26.52,30.325800,43.974500,13.648700
node[263],10.0.0.9,30.325800,59.626500,29.300700
node[11],10.0.26.52,30.325800,37.170200,6.844400
node[11],10.0.0.9,30.325800,35.685800,5.360000
node[282],10.0.26.52,30.325800,37.170200,6.844400
node[70],10.0.26.52,30.325800,37.170200,6.844400
node[70],10.0.0.9,30.325800,35.685800,5.360000
node[70],10.0.0.9,81.320900,87.160100,5.839200
node[64],10.0.26.52,30.325800,43.974500,13.648700
node[64],10.0.26.52,92.941600,100.229000,7.287400
node[64],10.0.0.9,30.325800,35.685800,5.360000
node[39],10.0.26.52,30.325800,37.170200,6.844400
node[39],10.0.0.9,30.325800,35.685800,5.360000
node[238],10.0.26.52,30.325800,47.850900,17.525100
node[238],10.0.0.9,30.325800,35.685800,5.360000
node[106],10.0.26.52,30.325800,35.439500,5.113700
node[106],10.0.0.9,30.325800,35.685800,5.360000
node[106],10.0.0.9,80.355600,87.244300,6.888700
node[10],10.0.26.52,30.325800,88.567400,58.241600
node[10],10.0.0.9,30.325800,35.685800,5.360000
node[79],10.0.26.52,30.325800,48.337800,18.012000
node[79],10.0.0.9,30.325800,35.685800,5.360000
node[256],10.0.26.52,30.325800,33.325800,3.000000
node[96],10.0.3.75,30.326800,48.462200,18.135400
node[106],10.0.3.6,30.328500,43.983200,13.654700
node[39],10.0.3.6,30.328500,47.561700,17.233200
node[70],10.0.3.6,30.328500,43.983200,13.654700
node[71],10.0.3.6,30.328500,95.923000,65.594500
node[71],10.0.0.9,30.328500,35.608500,5.280000
node[64],10.0.3.6,30.328500,79.843100,49.514600
node[263],10.0.3.6,30.328500,37.525900,7.197400
node[263],10.0.3.6,86.403800,91.603800,5.200000
node[14],10.0.3.6,30.328500,37.525900,7.197400
node[79],10.0.3.6,30.328500,51.683100,21.354600
node[179],10.0.3.6,30.328500,47.561700,17.233200
node[179],10.0.0.9,30.328500,35.608500,5.280000
node[96],10.0.3.6,30.328500,83.296400,52.967900
node[275],10.0.3.6,30.328500,39.712300,9.383800
