bin_lower	bin_upper	candidate_count
0.0	1.0	7525
1.0	2.0	9013
2.0	3.0	11429
3.0	4.0	14069
4.0	5.0	16865
5.0	6.0	19763
6.0	7.0	22245
7.0	8.0	24767
8.0	9.0	27077
9.0	10.0	29097
10.0	11.0	30914
11.0	12.0	33001
12.0	13.0	34074
13.0	14.0	35402
14.0	15.0	36533
15.0	16.0	37364
16.0	17.0	38286
17.0	18.0	38690
18.0	19.0	39207
19.0	20.0	39649
20.0	21.0	40167
21.0	22.0	40493
22.0	23.0	41640
23.0	24.0	41692
24.0	25.0	42254
25.0	26.0	43191
26.0	27.0	43840
27.0	28.0	44764
28.0	29.0	45637
29.0	30.0	46631
30.0	31.0	47647
31.0	32.0	47883
32.0	33.0	49089
33.0	34.0	49584
34.0	35.0	50543
35.0	36.0	50976
36.0	37.0	51471
37.0	38.0	51979
38.0	39.0	51918
39.0	40.0	52349
40.0	41.0	51782
41.0	42.0	51110
42.0	43.0	50431
43.0	44.0	49112
44.0	45.0	47944
45.0	46.0	46472
46.0	47.0	44120
47.0	48.0	41709
48.0	49.0	39375
49.0	50.0	36642
50.0	51.0	33762
51.0	52.0	30172
52.0	53.0	27213
53.0	54.0	24150
54.0	55.0	20999
55.0	56.0	18221
56.0	57.0	15747
57.0	58.0	13710
58.0	59.0	11765
59.0	60.0	9960
60.0	61.0	8317
61.0	62.0	6992
62.0	63.0	5867
63.0	64.0	4915
64.0	65.0	4035
65.0	66.0	3471
66.0	67.0	2916
67.0	68.0	2528
68.0	69.0	1874
69.0	70.0	1592
70.0	71.0	1325
71.0	72.0	1019
72.0	73.0	859
73.0	74.0	659
74.0	75.0	568
75.0	76.0	602
76.0	77.0	374
77.0	78.0	247
78.0	79.0	207
79.0	80.0	182
80.0	81.0	196
81.0	82.0	196
82.0	83.0	107
83.0	84.0	159
84.0	85.0	136
85.0	86.0	49
86.0	87.0	61
87.0	88.0	97
88.0	89.0	54
89.0	90.0	42
90.0	91.0	16
91.0	92.0	17
92.0	93.0	42
93.0	94.0	11
94.0	95.0	70
95.0	96.0	44
96.0	97.0	9
97.0	98.0	26
98.0	99.0	23
99.0	100.0	259
100.0	101.0	2491
