density	speed	range_index	range_label	lower_threshold	upper_threshold	candidate_count	candidate_ratio_percent
70	10	1	R1: 0 < CBP < 21	0	21	59531	37.88815132093964
70	10	2	R2: 21 < CBP < 33	21	33	43115	27.440285636094014
70	10	3	R3: 33 < CBP < 44	33	44	32084	20.419671212998733
70	10	4	R4: 44 < CBP < 101	44	101	22393	14.251891829967606
70	20	1	R1: 0 < CBP < 21	0	21	38842	28.875160760349992
70	20	2	R2: 21 < CBP < 33	21	33	32412	24.095095787149578
70	20	3	R3: 33 < CBP < 44	33	44	32848	24.419218388753837
70	20	4	R4: 44 < CBP < 101	44	101	30414	22.609781663284195
70	30	1	R1: 0 < CBP < 21	0	21	38317	31.253415551259778
70	30	2	R2: 21 < CBP < 33	21	33	29278	23.880718754333163
70	30	3	R3: 33 < CBP < 44	33	44	28033	22.865229484261956
70	30	4	R4: 44 < CBP < 101	44	101	26973	22.000636210145107
100	10	1	R1: 0 < CBP < 21	0	21	80815	36.94957410717959
100	10	2	R2: 21 < CBP < 33	21	33	61298	28.026170805195754
100	10	3	R3: 33 < CBP < 44	33	44	47304	21.627948444793958
100	10	4	R4: 44 < CBP < 101	44	101	29299	13.395849430999876
100	20	1	R1: 0 < CBP < 21	0	21	51091	22.767926773292217
100	20	2	R2: 21 < CBP < 33	21	33	51961	23.155629035780017
100	20	3	R3: 33 < CBP < 44	33	44	61088	27.222937713626177
100	20	4	R4: 44 < CBP < 101	44	101	60258	26.853060842517124
100	30	1	R1: 0 < CBP < 21	0	21	61236	21.656298737812232
100	30	2	R2: 21 < CBP < 33	21	33	64487	22.80602483351782
100	30	3	R3: 33 < CBP < 44	33	44	78994	27.9364697644317
100	30	4	R4: 44 < CBP < 101	44	101	78045	27.600853011178973
120	10	1	R1: 0 < CBP < 21	0	21	99102	34.41806512558346
120	10	2	R2: 21 < CBP < 33	21	33	81663	28.361510891309177
120	10	3	R3: 33 < CBP < 44	33	44	65413	22.717895643476325
120	10	4	R4: 44 < CBP < 101	44	101	41755	14.50148644143143
120	20	1	R1: 0 < CBP < 21	0	21	77039	20.665300407195396
120	20	2	R2: 21 < CBP < 33	21	33	80973	21.720574901956578
120	20	3	R3: 33 < CBP < 44	33	44	102471	27.48729861532106
120	20	4	R4: 44 < CBP < 101	44	101	112306	30.125484852224016
120	30	1	R1: 0 < CBP < 21	0	21	79164	20.04568036908928
120	30	2	R2: 21 < CBP < 33	21	33	89567	22.679898105429483
120	30	3	R3: 33 < CBP < 44	33	44	113018	28.61809286991224
120	30	4	R4: 44 < CBP < 101	44	101	113167	28.6558222213219
