density	speed	localCbr
100	10	60.030062
100	10	59.328311
100	10	6.994482
100	10	5.329099
100	10	0.427846
100	10	39.205238
100	10	62.979062
100	10	30.26801
100	10	31.244751
100	10	43.388285
100	10	37.407806
100	10	31.559794
100	10	8.839402
100	10	4.719012
100	10	7.684021
100	10	4.0565
100	10	1.523827
100	10	7.559322
100	10	35.370417
100	10	1.605158
100	10	14.034145
100	10	3.395126
100	10	2.471916
100	10	8.848639
100	10	8.796263
100	10	16.956084
100	10	17.016652
100	10	38.837878
100	10	32.461938
100	10	29.166464
100	10	19.392467
100	10	22.153384
100	10	7.264035
100	10	51.047751
100	10	26.994302
100	10	11.383893
100	10	35.983612
100	10	18.0973
100	10	21.043017
100	10	28.888148
100	10	30.876415
100	10	30.056322
100	10	35.477284
100	10	7.092467
100	10	22.318216
100	10	19.805909
100	10	28.450704
100	10	34.837454
100	10	31.10694
100	10	30.031902
100	10	35.242818
100	10	33.711737
100	10	41.248361
100	10	37.893964
100	10	39.440242
100	10	52.099977
100	10	43.813744
100	10	37.768401
100	10	33.113719
100	10	38.381871
100	10	45.746242
100	10	30.248341
100	10	30.47879
100	10	25.256624
100	10	36.054873
100	10	20.762509
100	10	15.208896
100	10	31.749314
100	10	30.31249
100	10	46.669983
100	10	1.554135
100	10	14.892225
100	10	28.467897
100	10	11.312179
100	10	27.465011
100	10	15.921313
100	10	10.36735
100	10	15.175301
100	10	23.321169
100	10	14.487383
100	10	23.949178
100	10	15.183549
100	10	11.092844
100	10	12.271828
100	10	11.674262
100	10	7.020611
100	10	14.729112
100	10	9.915045
100	10	15.14986
100	10	24.138035
100	10	18.88324
100	10	24.193991
100	10	26.381851
100	10	24.650244
100	10	26.634601
100	10	18.800459
100	10	19.440595
100	10	20.780766
100	10	25.389487
100	10	6.27028
100	10	8.728471
100	10	7.995134
100	10	14.171887
100	10	25.687284
100	10	14.194805
100	10	19.734696
100	10	22.920879
100	10	17.952828
100	10	27.273525
100	10	23.202821
100	10	20.172701
100	10	22.121408
100	10	40.752864
100	10	18.557129
100	10	33.737102
100	10	30.801065
100	10	34.041424
100	10	26.367837
100	10	31.347471
100	10	27.264666
100	10	14.800909
100	10	22.271571
100	10	6.581178
100	10	20.885727
100	10	19.615498
100	10	3.309763
100	10	23.829804
100	10	11.453819
100	10	4.092515
100	10	12.533979
100	10	9.133717
100	10	2.666869
100	10	16.574244
100	10	2.269111
100	10	4.975798
100	10	13.735706
100	10	9.510293
100	10	12.135116
100	10	14.4875
100	10	14.264298
100	10	25.581695
100	10	15.947574
100	10	22.366531
100	10	6.373747
100	10	12.259536
100	10	4.996821
100	10	25.765675
100	10	11.216356
100	10	22.16335
100	10	25.016511
100	10	14.783721
100	10	21.346277
100	10	23.906465
100	10	9.498523
100	10	25.379188
100	10	4.942486
100	10	3.824829
100	10	13.584655
100	10	13.314634
100	10	13.194875
100	10	14.077888
100	10	26.707616
100	10	22.57625
100	10	6.491426
100	10	16.854101
100	10	0.380626
100	10	7.098801
100	10	11.190509
100	10	15.310551
100	10	7.272138
100	10	16.533999
100	10	26.292599
100	10	24.63824
100	10	3.569149
100	10	5.310588
100	10	14.124102
100	10	17.949865
100	10	12.646179
100	10	24.32237
100	10	27.633124
100	10	14.273057
100	10	4.849124
100	10	21.908655
100	10	2.788108
100	10	10.886297
100	10	50.145552
100	10	42.140481
100	10	42.510909
100	10	36.826645
100	10	1.997362
100	10	39.921421
100	10	13.960332
100	10	30.265775
100	10	10.614036
100	10	9.055222
100	10	6.972088
100	10	7.271271
100	10	8.559229
100	10	3.84031
100	10	6.29972
100	10	9.229991
