bin_lower	bin_upper	candidate_count
0.0	1.0	3275
1.0	2.0	1540
2.0	3.0	2112
3.0	4.0	2514
4.0	5.0	3064
5.0	6.0	3524
6.0	7.0	3902
7.0	8.0	4203
8.0	9.0	4734
9.0	10.0	5027
10.0	11.0	5366
11.0	12.0	5512
12.0	13.0	5838
13.0	14.0	5876
14.0	15.0	6183
15.0	16.0	6278
16.0	17.0	6393
17.0	18.0	6455
18.0	19.0	6620
19.0	20.0	6531
20.0	21.0	6656
21.0	22.0	6813
22.0	23.0	6961
23.0	24.0	6931
24.0	25.0	6862
25.0	26.0	7046
26.0	27.0	7223
27.0	28.0	7248
28.0	29.0	7391
29.0	30.0	7581
30.0	31.0	7597
31.0	32.0	7665
32.0	33.0	7798
33.0	34.0	7932
34.0	35.0	8149
35.0	36.0	8055
36.0	37.0	8110
37.0	38.0	8080
38.0	39.0	8286
39.0	40.0	8090
40.0	41.0	8130
41.0	42.0	7962
42.0	43.0	7747
43.0	44.0	7591
44.0	45.0	7342
45.0	46.0	7021
46.0	47.0	6648
47.0	48.0	6261
48.0	49.0	5811
49.0	50.0	5354
50.0	51.0	4983
51.0	52.0	4366
52.0	53.0	4029
53.0	54.0	3479
54.0	55.0	3051
55.0	56.0	2544
56.0	57.0	2241
57.0	58.0	1896
58.0	59.0	1600
59.0	60.0	1322
60.0	61.0	1152
61.0	62.0	954
62.0	63.0	850
63.0	64.0	674
64.0	65.0	566
65.0	66.0	504
66.0	67.0	430
67.0	68.0	343
68.0	69.0	258
69.0	70.0	210
70.0	71.0	188
71.0	72.0	172
72.0	73.0	117
73.0	74.0	107
74.0	75.0	74
75.0	76.0	92
76.0	77.0	60
77.0	78.0	49
78.0	79.0	37
79.0	80.0	42
80.0	81.0	25
81.0	82.0	26
82.0	83.0	27
83.0	84.0	19
84.0	85.0	27
85.0	86.0	23
86.0	87.0	24
87.0	88.0	16
88.0	89.0	13
89.0	90.0	10
90.0	91.0	9
91.0	92.0	9
92.0	93.0	18
93.0	94.0	11
94.0	95.0	7
95.0	96.0	6
96.0	97.0	4
97.0	98.0	7
98.0	99.0	8
99.0	100.0	53
100.0	101.0	446
