density	speed	range_index	range_label	lower_threshold	upper_threshold	candidate_count	candidate_ratio_percent
70	10	1	R1: 0 < CBP < 19	0	19	9958	31.3795928656961
70	10	2	R2: 19 < CBP < 32	19	32	9499	29.93319468078402
70	10	3	R3: 32 < CBP < 43	32	43	7012	22.096174450116592
70	10	4	R4: 43 < CBP < 101	43	101	4996	15.743366735992941
70	20	1	R1: 0 < CBP < 19	0	19	7507	27.40081030769792
70	20	2	R2: 19 < CBP < 32	19	32	7097	25.904296090812863
70	20	3	R3: 32 < CBP < 43	32	43	6461	23.582874037303355
70	20	4	R4: 43 < CBP < 101	43	101	6096	22.250611380808117
70	30	1	R1: 0 < CBP < 19	0	19	6857	28.56845262894759
70	30	2	R2: 19 < CBP < 32	19	32	5953	24.802099825014583
70	30	3	R3: 32 < CBP < 43	32	43	5568	23.19806682776435
70	30	4	R4: 43 < CBP < 101	43	101	5346	22.273143904674612
100	10	1	R1: 0 < CBP < 19	0	19	10955	30.09780757184461
100	10	2	R2: 19 < CBP < 32	19	32	11008	30.24341996813012
100	10	3	R3: 32 < CBP < 43	32	43	8461	23.245782735315128
100	10	4	R4: 43 < CBP < 101	43	101	5712	15.693169954393099
100	20	1	R1: 0 < CBP < 19	0	19	7810	22.315560889193666
100	20	2	R2: 19 < CBP < 32	19	32	8668	24.767129550260016
100	20	3	R3: 32 < CBP < 43	32	43	9109	26.027201554374535
100	20	4	R4: 43 < CBP < 101	43	101	9174	26.212926452940167
100	30	1	R1: 0 < CBP < 19	0	19	9619	21.767860779832084
100	30	2	R2: 19 < CBP < 32	19	32	10688	24.187014867953565
100	30	3	R3: 32 < CBP < 43	32	43	11431	25.868428794496367
100	30	4	R4: 43 < CBP < 101	43	101	12254	27.730883251487924
120	10	1	R1: 0 < CBP < 19	0	19	11692	27.138314416359123
120	10	2	R2: 19 < CBP < 32	19	32	13191	30.617645010793122
120	10	3	R3: 32 < CBP < 43	32	43	10649	24.71740593737669
120	10	4	R4: 43 < CBP < 101	43	101	7288	16.916185038182114
120	20	1	R1: 0 < CBP < 19	0	19	10778	20.339686733345914
120	20	2	R2: 19 < CBP < 32	19	32	12585	23.749764106435176
120	20	3	R3: 32 < CBP < 43	32	43	13776	25.997357992073976
120	20	4	R4: 43 < CBP < 101	43	101	15610	29.45838837516512
120	30	1	R1: 0 < CBP < 19	0	19	11001	19.074122236671002
120	30	2	R2: 19 < CBP < 32	19	32	13816	23.954919809276117
120	30	3	R3: 32 < CBP < 43	32	43	15872	27.5197225834417
120	30	4	R4: 43 < CBP < 101	43	101	16730	29.007368877329863
