bin_lower	bin_upper	candidate_count
0.0	1.0	9645
1.0	2.0	11841
2.0	3.0	14964
3.0	4.0	18631
4.0	5.0	22508
5.0	6.0	26059
6.0	7.0	29578
7.0	8.0	32779
8.0	9.0	35772
9.0	10.0	38450
10.0	11.0	40616
11.0	12.0	43273
12.0	13.0	44877
13.0	14.0	46257
14.0	15.0	47756
15.0	16.0	48807
16.0	17.0	49858
17.0	18.0	50805
18.0	19.0	51590
19.0	20.0	52177
20.0	21.0	53072
21.0	22.0	53665
22.0	23.0	55072
23.0	24.0	55373
24.0	25.0	56082
25.0	26.0	57520
26.0	27.0	58337
27.0	28.0	59545
28.0	29.0	60451
29.0	30.0	61937
30.0	31.0	63238
31.0	32.0	63650
32.0	33.0	64912
33.0	34.0	65938
34.0	35.0	67011
35.0	36.0	67643
36.0	37.0	67957
37.0	38.0	68431
38.0	39.0	68680
39.0	40.0	68821
40.0	41.0	67839
41.0	42.0	66986
42.0	43.0	66271
43.0	44.0	64473
44.0	45.0	62928
45.0	46.0	60959
46.0	47.0	57700
47.0	48.0	54889
48.0	49.0	51443
49.0	50.0	47790
50.0	51.0	43963
51.0	52.0	39187
52.0	53.0	35145
53.0	54.0	31204
54.0	55.0	27104
55.0	56.0	23451
56.0	57.0	20204
57.0	58.0	17551
58.0	59.0	15116
59.0	60.0	12678
60.0	61.0	10691
61.0	62.0	9056
62.0	63.0	7504
63.0	64.0	6278
64.0	65.0	5244
65.0	66.0	4501
66.0	67.0	3759
67.0	68.0	3187
68.0	69.0	2479
69.0	70.0	2152
70.0	71.0	1729
71.0	72.0	1313
72.0	73.0	1077
73.0	74.0	817
74.0	75.0	725
75.0	76.0	715
76.0	77.0	446
77.0	78.0	329
78.0	79.0	245
79.0	80.0	240
80.0	81.0	234
81.0	82.0	240
82.0	83.0	179
83.0	84.0	231
84.0	85.0	212
85.0	86.0	56
86.0	87.0	66
87.0	88.0	138
88.0	89.0	64
89.0	90.0	66
90.0	91.0	21
91.0	92.0	46
92.0	93.0	48
93.0	94.0	26
94.0	95.0	72
95.0	96.0	46
96.0	97.0	13
97.0	98.0	30
98.0	99.0	64
99.0	100.0	405
100.0	101.0	3123
