density	speed	range_index	range_label	lower_threshold	upper_threshold	candidate_count	candidate_ratio_percent
70	10	1	R1: 0 < CBP <= 21	0	21	76402	37.481357927786505
70	10	2	R2: 21 < CBP <= 33	21	33	56522	27.728610675039246
70	10	3	R3: 33 < CBP <= 44	33	44	42010	20.609301412872842
70	10	4	R4: 44 < CBP <= 101	44	101	28906	14.180729984301413
70	20	1	R1: 0 < CBP <= 21	0	21	52958	29.581012919838905
70	20	2	R2: 21 < CBP <= 33	21	33	43515	24.306389539008084
70	20	3	R3: 33 < CBP <= 44	33	44	42987	24.011461958252106
70	20	4	R4: 44 < CBP <= 101	44	101	39567	22.101135582900902
70	30	1	R1: 0 < CBP <= 21	0	21	50046	31.26057978799823
70	30	2	R2: 21 < CBP <= 33	21	33	39239	24.510128487816456
70	30	3	R3: 33 < CBP <= 44	33	44	36752	22.95665644344225
70	30	4	R4: 44 < CBP <= 101	44	101	34056	21.272635280743067
100	10	1	R1: 0 < CBP <= 21	0	21	115695	36.232020218153124
100	10	2	R2: 21 < CBP <= 33	21	33	90318	28.28474525314969
100	10	3	R3: 33 < CBP <= 44	33	44	70525	22.086202738970993
100	10	4	R4: 44 < CBP <= 101	44	101	42779	13.397031789726196
100	20	1	R1: 0 < CBP <= 21	0	21	71972	22.59469132120489
100	20	2	R2: 21 < CBP <= 33	21	33	74899	23.513585634231717
100	20	3	R3: 33 < CBP <= 44	33	44	87252	27.391652408683502
100	20	4	R4: 44 < CBP <= 101	44	101	84412	26.500070635879887
100	30	1	R1: 0 < CBP <= 21	0	21	77895	21.621884194748237
100	30	2	R2: 21 < CBP <= 33	21	33	81919	22.738855271193028
100	30	3	R3: 33 < CBP <= 44	33	44	100004	27.758840837173153
100	30	4	R4: 44 < CBP <= 101	44	101	100442	27.880419696885582
120	10	1	R1: 0 < CBP <= 21	0	21	124519	34.54523764606661
120	10	2	R2: 21 < CBP <= 33	21	33	101670	28.206252150078235
120	10	3	R3: 33 < CBP <= 44	33	44	81706	22.66765061644824
120	10	4	R4: 44 < CBP <= 101	44	101	52557	14.580859587406922
120	20	1	R1: 0 < CBP <= 21	0	21	97285	20.708585489834626
120	20	2	R2: 21 < CBP <= 33	21	33	104024	22.143083692188487
120	20	3	R3: 33 < CBP <= 44	33	44	130549	27.78933162473578
120	20	4	R4: 44 < CBP <= 101	44	101	137923	29.358999193241104
120	30	1	R1: 0 < CBP <= 21	0	21	102550	19.834784273752902
120	30	2	R2: 21 < CBP <= 33	21	33	117673	22.759810529939788
120	30	3	R3: 33 < CBP <= 44	33	44	148270	28.67775196752163
120	30	4	R4: 44 < CBP <= 101	44	101	148528	28.727653228785677
