bin_lower	bin_upper	candidate_count
0.0	1.0	4311
1.0	2.0	2022
2.0	3.0	2800
3.0	4.0	3304
4.0	5.0	4001
5.0	6.0	4613
6.0	7.0	5184
7.0	8.0	5558
8.0	9.0	6250
9.0	10.0	6602
10.0	11.0	7046
11.0	12.0	7216
12.0	13.0	7639
13.0	14.0	7688
14.0	15.0	8057
15.0	16.0	8218
16.0	17.0	8412
17.0	18.0	8452
18.0	19.0	8738
19.0	20.0	8619
20.0	21.0	8943
21.0	22.0	8976
22.0	23.0	9208
23.0	24.0	9265
24.0	25.0	9134
25.0	26.0	9456
26.0	27.0	9647
27.0	28.0	9667
28.0	29.0	9832
29.0	30.0	10094
30.0	31.0	10060
31.0	32.0	10272
32.0	33.0	10354
33.0	34.0	10528
34.0	35.0	10766
35.0	36.0	10682
36.0	37.0	10806
37.0	38.0	10675
38.0	39.0	10847
39.0	40.0	10646
40.0	41.0	10669
41.0	42.0	10403
42.0	43.0	10061
43.0	44.0	9946
44.0	45.0	9542
45.0	46.0	9243
46.0	47.0	8700
47.0	48.0	8136
48.0	49.0	7569
49.0	50.0	6969
50.0	51.0	6464
51.0	52.0	5641
52.0	53.0	5174
53.0	54.0	4515
54.0	55.0	3954
55.0	56.0	3290
56.0	57.0	2854
57.0	58.0	2431
58.0	59.0	2051
59.0	60.0	1702
60.0	61.0	1483
61.0	62.0	1230
62.0	63.0	1092
63.0	64.0	902
64.0	65.0	722
65.0	66.0	647
66.0	67.0	527
67.0	68.0	435
68.0	69.0	348
69.0	70.0	298
70.0	71.0	251
71.0	72.0	233
72.0	73.0	159
73.0	74.0	138
74.0	75.0	102
75.0	76.0	112
76.0	77.0	86
77.0	78.0	71
78.0	79.0	52
79.0	80.0	53
80.0	81.0	42
81.0	82.0	32
82.0	83.0	32
83.0	84.0	26
84.0	85.0	32
85.0	86.0	26
86.0	87.0	29
87.0	88.0	20
88.0	89.0	17
89.0	90.0	16
90.0	91.0	10
91.0	92.0	12
92.0	93.0	19
93.0	94.0	17
94.0	95.0	9
95.0	96.0	7
96.0	97.0	5
97.0	98.0	11
98.0	99.0	11
99.0	100.0	77
100.0	101.0	560
