density	speed	range_index	range_label	lower_threshold	upper_threshold	candidate_count	candidate_ratio_percent
70	10	1	R1: 0 < CBP < 19	0	19	12830	30.81393952494176
70	10	2	R2: 19 < CBP < 32	19	32	12552	30.14626414006773
70	10	3	R3: 32 < CBP < 43	32	43	9327	22.40074933352547
70	10	4	R4: 43 < CBP < 101	43	101	6580	15.80325191536374
70	20	1	R1: 0 < CBP < 19	0	19	10216	27.891230752429834
70	20	2	R2: 19 < CBP < 32	19	32	9699	26.479742273670414
70	20	3	R3: 32 < CBP < 43	32	43	8499	23.20356011794256
70	20	4	R4: 43 < CBP < 101	43	101	7872	21.49175494157475
70	30	1	R1: 0 < CBP < 19	0	19	8966	28.352781203554372
70	30	2	R2: 19 < CBP < 32	19	32	8108	25.63956613857003
70	30	3	R3: 32 < CBP < 43	32	43	7324	23.160357967302282
70	30	4	R4: 43 < CBP < 101	43	101	6878	21.749992094361698
100	10	1	R1: 0 < CBP < 19	0	19	15763	29.500495948196807
100	10	2	R2: 19 < CBP < 32	19	32	16334	30.569123949619147
100	10	3	R3: 32 < CBP < 43	32	43	12661	23.69509479160818
100	10	4	R4: 43 < CBP < 101	43	101	8303	15.539086332416296
100	20	1	R1: 0 < CBP < 19	0	19	11180	22.49723312204447
100	20	2	R2: 19 < CBP < 32	19	32	12389	24.930073448033003
100	20	3	R3: 32 < CBP < 43	32	43	12935	26.028775530737498
100	20	4	R4: 43 < CBP < 101	43	101	12849	25.85571989133716
100	30	1	R1: 0 < CBP < 19	0	19	11938	21.52193116876093
100	30	2	R2: 19 < CBP < 32	19	32	13417	24.18828534857308
100	30	3	R3: 32 < CBP < 43	32	43	14302	25.78377111539779
100	30	4	R4: 43 < CBP < 101	43	101	15560	28.051704555697775
120	10	1	R1: 0 < CBP < 19	0	19	14602	27.130169819033107
120	10	2	R2: 19 < CBP < 32	19	32	16559	30.76622942291256
120	10	3	R3: 32 < CBP < 43	32	43	13230	24.581026346103823
120	10	4	R4: 43 < CBP < 101	43	101	9091	16.89086247259485
120	20	1	R1: 0 < CBP < 19	0	19	13559	20.378135473495952
120	20	2	R2: 19 < CBP < 32	19	32	16038	24.103882050588393
120	20	3	R3: 32 < CBP < 43	32	43	17445	26.218494972721945
120	20	4	R4: 43 < CBP < 101	43	101	19195	28.84861054751492
120	30	1	R1: 0 < CBP < 19	0	19	14086	18.779079843752083
120	30	2	R2: 19 < CBP < 32	19	32	18077	24.09977469370342
120	30	3	R3: 32 < CBP < 43	32	43	20714	27.61535282432775
120	30	4	R4: 43 < CBP < 101	43	101	21804	29.06851177858657
