Time: 37.983253932087, Node: node[127], myRouteTimeout: 2.061482065067, deletePeriod: 4.122964130133
Time: 41.125105918482, Node: node[127], myRouteTimeout: 1.213160420351, deletePeriod: 2.426320840703
Time: 42.126785319115, Node: node[31], myRouteTimeout: 4.465046542754, deletePeriod: 8.930093085507
Time: 42.128724447437, Node: node[120], myRouteTimeout: 2.136238924538, deletePeriod: 4.272477849076
Time: 42.131903927637, Node: node[147], myRouteTimeout: 2.015625184461, deletePeriod: 4.031250368921
Time: 44.990749693905, Node: node[77], myRouteTimeout: 3.064557827125, deletePeriod: 6.12911565425
Time: 44.991725538672, Node: node[69], myRouteTimeout: 1.376781779728, deletePeriod: 2.753563559456
Time: 44.99324043337, Node: node[105], myRouteTimeout: 5.000912099463, deletePeriod: 10.001824198925
Time: 44.996035994541, Node: node[77], myRouteTimeout: 4.336073147744, deletePeriod: 8.672146295487
Time: 44.999462582349, Node: node[105], myRouteTimeout: 1.390038809782, deletePeriod: 2.780077619563
Time: 45.994018127531, Node: node[93], myRouteTimeout: 1.200548624704, deletePeriod: 2.401097249409
Time: 45.995144109076, Node: node[85], myRouteTimeout: 4.641675065983, deletePeriod: 9.283350131966
Time: 45.99619697825, Node: node[103], myRouteTimeout: 1.769405617999, deletePeriod: 3.538811235999
Time: 45.99648005323, Node: node[103], myRouteTimeout: 2.330950615509, deletePeriod: 4.661901231019
Time: 45.997722756102, Node: node[21], myRouteTimeout: 1.273187785094, deletePeriod: 2.546375570188
Time: 45.998100028191, Node: node[93], myRouteTimeout: 1.1740856656, deletePeriod: 2.3481713312
Time: 45.99885862039, Node: rsu[0], myRouteTimeout: 1.023415176873, deletePeriod: 2.046830353746
Time: 46.000378482513, Node: node[69], myRouteTimeout: 1.517851012936, deletePeriod: 3.035702025872
Time: 46.000674264253, Node: node[69], myRouteTimeout: 1.549005003134, deletePeriod: 3.098010006268
Time: 46.033965620467, Node: node[21], myRouteTimeout: 1.504987234185, deletePeriod: 3.00997446837
Time: 46.038466109374, Node: rsu[0], myRouteTimeout: 1.014552554017, deletePeriod: 2.029105108034
Time: 46.723655553708, Node: node[85], myRouteTimeout: 3.757183669047, deletePeriod: 7.514367338095
Time: 46.727876827773, Node: node[93], myRouteTimeout: 1.193394910233, deletePeriod: 2.386789820466
Time: 46.729191801212, Node: node[120], myRouteTimeout: 4.597551823801, deletePeriod: 9.195103647602
Time: 46.734160690756, Node: node[167], myRouteTimeout: 1.046681022968, deletePeriod: 2.093362045936
Time: 46.738342643066, Node: node[147], myRouteTimeout: 4.395239269825, deletePeriod: 8.790478539651
Time: 46.738755636612, Node: node[69], myRouteTimeout: 1.353501366752, deletePeriod: 2.707002733504
Time: 46.739064418352, Node: node[69], myRouteTimeout: 1.522165028037, deletePeriod: 3.044330056075
Time: 46.743376338331, Node: node[147], myRouteTimeout: 4.388201853597, deletePeriod: 8.776403707194
Time: 46.743696997397, Node: node[147], myRouteTimeout: 3.374391373185, deletePeriod: 6.748782746371
Time: 47.276030874423, Node: node[8], myRouteTimeout: 1.40026922473, deletePeriod: 2.800538449459
Time: 47.279571291144, Node: node[74], myRouteTimeout: 1.298190874434, deletePeriod: 2.596381748867
Time: 47.281326530635, Node: node[74], myRouteTimeout: 1.29581030056, deletePeriod: 2.591620601119
Time: 47.284996793042, Node: node[24], myRouteTimeout: 5.062103727585, deletePeriod: 10.124207455169
Time: 48.27906544367, Node: node[160], myRouteTimeout: 4.865631509194, deletePeriod: 9.731263018387
Time: 48.283410880926, Node: node[77], myRouteTimeout: 4.285075505177, deletePeriod: 8.570151010353
Time: 48.284452213907, Node: node[134], myRouteTimeout: 3.55569765699, deletePeriod: 7.11139531398
Time: 48.28464873755, Node: node[77], myRouteTimeout: 3.289091442874, deletePeriod: 6.578182885747
Time: 48.285237060484, Node: node[74], myRouteTimeout: 1.294879397597, deletePeriod: 2.589758795194
Time: 48.289040843559, Node: node[77], myRouteTimeout: 4.29125660588, deletePeriod: 8.58251321176
Time: 48.292769031691, Node: node[69], myRouteTimeout: 2.764258842471, deletePeriod: 5.528517684941
Time: 48.293319810591, Node: node[69], myRouteTimeout: 3.101183373425, deletePeriod: 6.20236674685
Time: 48.293602614069, Node: node[69], myRouteTimeout: 3.078132458679, deletePeriod: 6.156264917357
Time: 48.298255054149, Node: node[24], myRouteTimeout: 1.400008157737, deletePeriod: 2.800016315475
Time: 48.30188634533, Node: node[24], myRouteTimeout: 1.395330518323, deletePeriod: 2.790661036646
Time: 48.303397417814, Node: node[93], myRouteTimeout: 2.886875981147, deletePeriod: 5.773751962294
