Node,Destination,Lifetime_Start,Lifetime_End,Duration
node[36],10.0.0.9,30.004100,55.769500,25.765400
node[7],10.0.0.9,30.004100,78.846200,48.842100
node[96],10.0.0.9,30.004100,56.306100,26.302000
rsu[0],10.0.10.8,30.005500,57.856800,27.851300
node[32],10.0.10.8,30.005500,56.302400,26.296900
node[95],10.0.10.8,30.005500,57.856800,27.851300
node[95],10.0.0.9,30.005500,78.846200,48.840700
node[39],10.0.10.8,30.005500,35.408800,5.403300
node[39],10.0.0.9,30.005500,36.883300,6.877800
node[7],10.0.10.8,30.005500,70.445800,40.440300
node[32],10.0.2.55,30.005700,39.674100,9.668400
node[18],10.0.2.55,30.005800,48.081100,18.075300
node[18],10.0.0.9,30.005800,56.229400,26.223600
node[18],10.0.0.9,91.428500,102.193000,10.764500
node[13],10.0.2.55,30.005800,67.184800,37.179000
node[13],10.0.0.9,30.005800,65.982600,35.976800
node[50],10.0.2.55,30.005800,54.975200,24.969400
node[50],10.0.0.9,30.005800,57.508500,27.502700
node[50],10.0.0.9,94.914500,100.513000,5.598500
rsu[0],10.0.2.55,30.005800,36.767300,6.761500
rsu[0],10.0.2.55,58.043600,69.107300,11.063700
node[36],10.0.2.55,30.005800,71.661800,41.656000
node[56],10.0.2.55,30.005800,167.194000,137.188200
node[56],10.0.0.9,30.005800,78.846200,48.840400
node[7],10.0.8.244,30.006100,38.615500,8.609400
node[36],10.0.8.244,30.006100,52.987600,22.981500
rsu[0],10.0.8.244,30.006100,61.000000,30.993900
node[95],10.0.8.244,30.006100,59.261200,29.255100
node[13],10.0.8.244,30.006100,35.450200,5.444100
node[18],10.0.8.244,30.006100,35.445700,5.439600
node[17],10.0.10.215,30.020400,46.926400,16.906000
node[95],10.0.10.215,30.020400,39.935800,9.915400
node[46],10.0.10.215,30.020400,52.079900,22.059500
node[36],10.0.10.215,30.020400,33.943400,3.923000
node[13],10.0.5.46,30.062000,48.262200,18.200200
node[56],10.0.5.46,30.062000,49.317600,19.255600
node[50],10.0.5.46,30.062000,68.331600,38.269600
node[7],10.0.5.46,30.062000,49.114300,19.052300
node[5],10.0.5.46,30.062000,35.295400,5.233400
node[79],10.0.5.46,30.062000,36.057900,5.995900
node[32],10.0.5.46,30.062000,34.743200,4.681200
node[18],10.0.3.213,30.133700,45.055000,14.921300
node[56],10.0.3.213,30.133700,68.282600,38.148900
node[50],10.0.3.213,30.133700,49.644300,19.510600
node[7],10.0.3.213,30.133700,68.282500,38.148800
node[79],10.0.3.213,30.133700,35.387900,5.254200
node[79],10.0.3.213,55.799000,78.217800,22.418800
node[5],10.0.3.213,30.133700,70.825600,40.691900
node[32],10.0.3.213,30.133700,34.741800,4.608100
node[5],10.0.0.9,30.327500,36.805900,6.478400
node[79],10.0.0.9,30.327500,36.805900,6.478400
node[50],10.0.1.173,30.331000,40.009700,9.678700
node[33],10.0.1.173,30.331000,57.830500,27.499500
node[33],10.0.0.9,30.331000,36.726900,6.395900
node[81],10.0.1.173,30.331000,38.142200,7.811200
node[81],10.0.0.9,30.331000,36.726900,6.395900
node[18],10.0.1.173,30.331000,36.089800,5.758800
node[13],10.0.1.173,30.331000,71.716600,41.385600
node[34],10.0.1.173,30.331000,34.745100,4.414100
node[34],10.0.0.9,30.331000,36.647600,6.316600
node[74],10.0.9.126,30.361900,97.626800,67.264900
node[81],10.0.9.126,30.361900,41.993900,11.632000
node[68],10.0.9.126,30.361900,49.663400,19.301500
node[33],10.0.9.126,30.361900,36.787400,6.425500
node[5],10.0.9.126,30.361900,34.772200,4.410300
node[5],10.0.13.206,30.404900,39.486300,9.081400
node[18],10.0.13.206,30.404900,67.342200,36.937300
node[18],10.0.13.206,128.557000,146.083000,17.526000
node[13],10.0.13.206,30.404900,49.644300,19.239400
node[7],10.0.13.206,30.404900,58.476200,28.071300
node[33],10.0.13.206,30.404900,49.565700,19.160800
node[56],10.0.13.206,30.404900,58.011300,27.606400
node[76],10.0.12.186,30.564100,48.338900,17.774800
node[39],10.0.12.186,30.564100,52.078600,21.514500
node[61],10.0.12.186,30.564100,37.753900,7.189800
node[95],10.0.12.186,30.564100,32.564100,2.000000
node[13],10.0.15.108,30.581300,68.636600,38.055300
node[18],10.0.15.108,30.581300,48.079100,17.497800
node[79],10.0.15.108,30.581300,36.050700,5.469400
node[79],10.0.15.108,60.706700,66.463900,5.757200
node[50],10.0.15.108,30.581300,52.937000,22.355700
node[39],10.0.4.233,30.602600,42.849600,12.247000
node[95],10.0.4.233,30.602600,67.539300,36.936700
node[95],10.0.4.233,97.383700,106.385000,9.001300
node[76],10.0.4.233,30.602600,44.519000,13.916400
node[39],10.0.25.239,30.711300,39.857100,9.145800
node[17],10.0.25.239,30.711300,42.797600,12.086300
node[36],10.0.25.239,30.711300,84.827400,54.116100
node[32],10.0.25.239,30.711300,62.268200,31.556900
node[46],10.0.25.239,30.711300,32.711300,2.000000
node[14],10.0.26.52,30.755200,71.391400,40.636200
node[11],10.0.26.52,30.755200,50.338700,19.583500
node[4],10.0.26.52,30.755200,60.814300,30.059100
node[35],10.0.26.52,30.755200,50.338700,19.583500
node[70],10.0.26.52,30.755200,50.338700,19.583500
node[20],10.0.26.52,30.755200,66.605700,35.850500
rsu[0],10.0.26.52,30.755200,43.106000,12.350800
node[10],10.0.26.52,30.755200,96.059700,65.304500
node[81],10.0.18.168,30.785700,49.653800,18.868100
node[34],10.0.18.168,30.785700,49.659400,18.873700
node[33],10.0.18.168,30.785700,39.627800,8.842100
node[74],10.0.18.168,30.785700,50.372600,19.586900
node[81],10.0.9.57,30.808700,43.636800,12.828100
node[5],10.0.9.57,30.808700,58.008900,27.200200
node[34],10.0.9.57,30.808700,36.746700,5.938000
node[74],10.0.9.57,30.808700,36.746700,5.938000
