Node,Destination,Lifetime_Start,Lifetime_End,Duration
node[36],10.0.0.9,30.004100,66.142000,36.137900
node[7],10.0.0.9,30.004100,52.989800,22.985700
node[96],10.0.0.9,30.004100,52.989100,22.985000
rsu[0],10.0.10.8,30.005500,62.905800,32.900300
node[32],10.0.10.8,30.005500,51.003000,20.997500
node[95],10.0.10.8,30.005500,87.375600,57.370100
node[95],10.0.0.9,30.005500,76.988600,46.983100
node[39],10.0.10.8,30.005500,34.901000,4.895500
node[39],10.0.0.9,30.005500,35.767100,5.761600
node[39],10.0.0.9,55.361400,60.161400,4.800000
node[7],10.0.10.8,30.005500,69.397400,39.391900
node[32],10.0.2.55,30.005700,40.706700,10.701000
node[18],10.0.2.55,30.005800,48.517600,18.511800
node[18],10.0.0.9,30.005800,52.832500,22.826700
node[13],10.0.2.55,30.005800,67.970000,37.964200
node[13],10.0.0.9,30.005800,52.989800,22.984000
node[50],10.0.2.55,30.005800,52.699200,22.693400
node[50],10.0.0.9,30.005800,52.911300,22.905500
rsu[0],10.0.2.55,30.005800,38.305400,8.299600
rsu[0],10.0.2.55,59.702700,73.902100,14.199400
node[36],10.0.2.55,30.005800,70.902000,40.896200
node[56],10.0.2.55,30.005800,167.131000,137.125200
node[56],10.0.0.9,30.005800,52.989800,22.984000
node[7],10.0.8.244,30.006100,40.702700,10.696600
node[36],10.0.8.244,30.006100,51.190700,21.184600
rsu[0],10.0.8.244,30.006100,81.657100,51.651000
node[95],10.0.8.244,30.006100,62.902100,32.896000
node[13],10.0.8.244,30.006100,33.325600,3.319500
node[18],10.0.8.244,30.006100,33.325600,3.319500
node[17],10.0.10.215,30.020400,46.394900,16.374500
node[17],10.0.10.215,86.549300,91.589300,5.040000
node[95],10.0.10.215,30.020400,39.153600,9.133200
node[95],10.0.10.215,85.914700,91.510400,5.595700
node[46],10.0.10.215,30.020400,46.394900,16.374500
node[46],10.0.10.215,86.549300,91.589300,5.040000
node[13],10.0.5.46,30.062000,43.668800,13.606800
node[50],10.0.5.46,30.062000,67.841500,37.779500
node[7],10.0.5.46,30.062000,48.516700,18.454700
node[5],10.0.5.46,30.062000,36.547800,6.485800
node[79],10.0.5.46,30.062000,36.547800,6.485800
node[32],10.0.5.46,30.062000,33.330200,3.268200
node[18],10.0.3.213,30.133700,43.973800,13.840100
node[56],10.0.3.213,30.133700,67.240100,37.106400
node[50],10.0.3.213,30.133700,49.908200,19.774500
node[7],10.0.3.213,30.133700,67.240100,37.106400
node[79],10.0.3.213,30.133700,35.901100,5.767400
node[5],10.0.3.213,30.133700,69.009900,38.876200
node[32],10.0.3.213,30.133700,33.327800,3.194100
node[79],10.0.0.9,30.327800,38.907800,8.580000
node[5],10.0.0.9,30.327800,52.833200,22.505400
node[50],10.0.1.173,30.329000,40.708300,10.379300
node[33],10.0.1.173,30.329000,54.280100,23.951100
node[33],10.0.0.9,30.329000,52.989800,22.660800
node[81],10.0.1.173,30.329000,39.431800,9.102800
node[81],10.0.0.9,30.329000,52.836900,22.507900
node[81],10.0.0.9,93.126400,103.708000,10.581600
node[17],10.0.0.9,30.329000,35.689000,5.360000
node[46],10.0.0.9,30.329000,35.689000,5.360000
node[39],10.0.4.233,30.329800,53.342900,23.013100
node[39],10.0.4.233,78.913200,93.192700,14.279500
node[76],10.0.12.186,30.332400,50.902900,20.570500
node[76],10.0.0.9,30.332400,35.612400,5.280000
node[76],10.0.0.9,54.552600,63.001300,8.448700
node[39],10.0.12.186,30.332400,51.452200,21.119800
node[61],10.0.12.186,30.332400,37.504100,7.171700
node[61],10.0.12.186,153.880000,188.560000,34.680000
node[61],10.0.0.9,30.332400,35.612400,5.280000
node[61],10.0.0.9,67.906600,76.598100,8.691500
node[61],10.0.0.9,94.145500,103.708000,9.562500
node[95],10.0.12.186,30.332400,33.332400,3.000000
rsu[0],10.0.4.233,30.336700,105.649000,75.312300
node[5],10.0.13.206,30.404900,40.710100,10.305200
node[18],10.0.13.206,30.404900,67.435100,37.030200
node[13],10.0.13.206,30.404900,49.906400,19.501500
node[7],10.0.13.206,30.404900,52.528200,22.123300
node[33],10.0.13.206,30.404900,48.518000,18.113100
node[56],10.0.13.206,30.404900,52.528200,22.123300
node[13],10.0.15.108,30.581300,65.767900,35.186600
node[18],10.0.15.108,30.581300,48.900900,18.319600
node[79],10.0.15.108,30.581300,35.903100,5.321800
node[50],10.0.15.108,30.581300,52.697000,22.115700
node[46],10.0.4.233,30.602600,56.997600,26.395000
node[95],10.0.4.233,30.602600,39.389700,8.787100
node[95],10.0.4.233,56.337000,78.207900,21.870900
node[95],10.0.4.233,71.576700,89.575600,17.998900
node[76],10.0.4.233,30.602600,44.291300,13.688700
node[76],10.0.4.233,71.964200,93.272500,21.308300
node[39],10.0.25.239,30.711300,38.336300,7.625000
node[17],10.0.25.239,30.711300,40.129300,9.418000
node[36],10.0.25.239,30.711300,85.108400,54.397100
node[32],10.0.25.239,30.711300,62.901900,32.190600
node[46],10.0.25.239,30.711300,32.711300,2.000000
node[14],10.0.26.52,30.755200,60.309200,29.554000
node[11],10.0.26.52,30.755200,60.309200,29.554000
node[4],10.0.26.52,30.755200,60.309200,29.554000
node[35],10.0.26.52,30.755200,54.919400,24.164200
node[70],10.0.26.52,30.755200,54.919400,24.164200
node[20],10.0.26.52,30.755200,60.309200,29.554000
rsu[0],10.0.26.52,30.755200,43.357700,12.602500
node[10],10.0.26.52,30.755200,92.963000,62.207800
node[76],10.0.16.197,30.832800,39.760200,8.927400
node[25],10.0.16.197,30.832800,68.845400,38.012600
node[3],10.0.16.197,30.832800,52.806800,21.974000
node[54],10.0.16.197,30.832800,68.845400,38.012600
node[67],10.0.16.197,30.832800,41.620700,10.787900
node[67],10.0.16.197,89.549300,110.804000,21.254700
node[80],10.0.16.197,30.832800,61.645900,30.813100
node[80],10.0.16.197,131.430000,184.968000,53.538000
node[46],10.0.16.197,30.832800,38.115500,7.282700
node[35],10.0.19.50,30.849900,59.834300,28.984400
node[11],10.0.19.50,30.849900,44.028200,13.178300
node[10],10.0.19.50,30.849900,52.832100,21.982200
node[64],10.0.19.50,30.849900,60.812200,29.962300
node[14],10.0.19.50,30.849900,49.907200,19.057300
node[72],10.0.19.50,30.849900,60.812200,29.962300
node[40],10.0.19.50,30.849900,57.552000,26.702100
node[96],10.0.19.50,30.849900,54.624600,23.774700
node[63],10.0.19.50,30.849900,54.624600,23.774700
node[4],10.0.19.50,30.849900,60.812200,29.962300
node[44],10.0.19.50,30.849900,57.552000,26.702100
node[65],10.0.21.159,30.852500,41.564600,10.712100
node[56],10.0.21.159,30.852500,34.496800,3.644300
node[13],10.0.21.159,30.852500,34.496800,3.644300
node[13],10.0.21.159,55.354000,60.170100,4.816100
node[18],10.0.21.159,30.852500,34.496800,3.644300
node[81],10.0.21.159,30.852500,34.496800,3.644300
node[44],10.0.17.79,30.884500,83.443600,52.559100
node[40],10.0.17.79,30.884500,83.443600,52.559100
node[72],10.0.17.79,30.884500,73.906600,43.022100
node[64],10.0.17.79,30.884500,91.398400,60.513900
node[93],10.0.17.79,30.884500,38.303200,7.418700
node[93],10.0.17.79,121.538000,125.420000,3.882000
node[98],10.0.17.79,30.884500,74.555400,43.670900
node[23],10.0.17.79,30.884500,94.922600,64.038100
node[43],10.0.17.79,30.884500,34.681500,3.797000
node[70],10.0.17.79,30.884500,58.349100,27.464600
node[22],10.0.17.79,30.884500,91.398400,60.513900
node[68],10.0.22.41,30.898500,44.017000,13.118500
node[34],10.0.22.41,30.898500,41.445200,10.546700
node[33],10.0.22.41,30.898500,41.445200,10.546700
node[74],10.0.22.41,30.898500,34.612500,3.714000
node[5],10.0.22.41,30.898500,37.837000,6.938500
node[79],10.0.22.41,30.898500,54.548900,23.650400
node[61],10.0.20.208,30.903900,40.066500,9.162600
node[46],10.0.20.208,30.903900,50.429100,19.525200
node[25],10.0.20.208,30.903900,36.538500,5.634600
node[54],10.0.20.208,30.903900,34.733600,3.829700
node[3],10.0.20.208,30.903900,34.733600,3.829700
node[17],10.0.20.208,30.903900,45.262100,14.358200
node[67],10.0.20.208,30.903900,32.903900,2.000000
node[43],10.0.26.190,30.949100,43.584900,12.635800
node[44],10.0.26.190,30.949100,59.310000,28.360900
node[1],10.0.26.190,30.949100,41.658900,10.709800
node[93],10.0.26.190,30.949100,46.798800,15.849700
node[63],10.0.26.190,30.949100,59.310000,28.360900
node[53],10.0.26.190,30.949100,46.798800,15.849700
node[40],10.0.26.190,30.949100,32.949100,2.000000
node[40],10.0.26.190,50.304100,59.310000,9.005900
node[72],10.0.26.190,30.949100,32.949100,2.000000
node[72],10.0.26.190,52.058700,59.310000,7.251300
node[25],10.0.14.226,31.101700,79.857100,48.755400
node[80],10.0.14.226,31.101700,56.808800,25.707100
node[48],10.0.14.226,31.101700,56.808800,25.707100
node[54],10.0.7.17,31.125700,79.405900,48.280200
node[80],10.0.7.17,31.125700,61.644100,30.518400
node[61],10.0.7.17,31.125700,114.037000,82.911300
node[3],10.0.7.17,31.125700,51.573800,20.448100
node[48],10.0.7.17,31.125700,68.585200,37.459500
node[76],10.0.7.17,31.125700,36.482400,5.356700
node[67],10.0.7.17,31.125700,80.415000,49.289300
node[86],10.0.7.17,31.125700,61.644100,30.518400
node[5],10.0.9.57,31.155700,59.828000,28.672300
node[81],10.0.9.57,31.155700,40.790500,9.634800
node[34],10.0.9.57,31.155700,38.309300,7.153600
node[74],10.0.9.57,31.155700,35.902900,4.747200
node[68],10.0.9.57,31.155700,40.790500,9.634800
node[50],10.0.9.57,31.155700,48.519700,17.364000
node[100],10.0.9.57,31.155700,56.432000,25.276300
node[33],10.0.20.70,31.192700,36.869600,5.676900
node[81],10.0.20.70,31.192700,35.040100,3.847400
node[68],10.0.20.70,31.192700,49.914400,18.721700
node[37],10.0.20.70,31.192700,43.932500,12.739800
node[97],10.0.20.70,31.192700,72.975000,41.782300
node[85],10.0.20.70,31.192700,49.986700,18.794000
node[84],10.0.20.70,31.192700,35.040100,3.847400
node[16],10.0.17.217,31.194100,36.902200,5.708100
node[79],10.0.17.217,31.194100,49.911200,18.717100
node[63],10.0.12.48,31.201800,86.320900,55.119100
node[72],10.0.12.48,31.201800,81.945100,50.743300
node[98],10.0.12.48,31.201800,61.750400,30.548600
node[93],10.0.12.48,31.201800,38.311700,7.109900
node[8],10.0.12.48,31.201800,61.750400,30.548600
node[43],10.0.12.48,31.201800,34.946900,3.745100
node[23],10.0.12.48,31.201800,61.750400,30.548600
node[22],10.0.12.48,31.201800,61.750400,30.548600
node[54],10.0.21.228,31.218400,63.480700,32.262300
node[25],10.0.21.228,31.218400,61.643500,30.425100
node[30],10.0.21.228,31.218400,82.253900,51.035500
node[67],10.0.21.228,31.218400,41.938200,10.719800
node[61],10.0.21.228,31.218400,65.274100,34.055700
node[61],10.0.21.228,132.572000,185.895000,53.323000
node[92],10.0.21.228,31.218400,35.086800,3.868400
node[1],10.0.11.235,31.266600,94.689200,63.422600
node[53],10.0.11.235,31.266600,84.408200,53.141600
node[98],10.0.11.235,31.266600,44.144600,12.878000
node[93],10.0.11.235,31.266600,86.096100,54.829500
node[44],10.0.11.235,31.266600,35.165200,3.898600
node[63],10.0.11.235,31.266600,33.266600,2.000000
node[4],10.0.5.184,31.275700,43.844900,12.569200
node[96],10.0.5.184,31.275700,43.844900,12.569200
node[74],10.0.9.126,31.278600,97.501100,66.222500
node[68],10.0.9.126,31.278600,48.743900,17.465300
node[81],10.0.9.126,31.278600,40.989900,9.711300
node[33],10.0.9.126,31.278600,38.310100,7.031500
node[22],10.0.6.135,31.284100,99.233000,67.948900
node[93],10.0.6.135,31.284100,40.688600,9.404500
node[40],10.0.6.135,31.284100,44.285700,13.001600
node[63],10.0.6.135,31.284100,44.285700,13.001600
node[72],10.0.6.135,31.284100,44.285700,13.001600
node[44],10.0.6.135,31.284100,44.285700,13.001600
node[64],10.0.6.135,31.284100,44.285700,13.001600
node[35],10.0.3.75,31.316400,40.342100,9.025700
node[70],10.0.3.75,31.316400,43.737500,12.421100
node[14],10.0.3.75,31.316400,58.346100,27.029700
node[96],10.0.3.75,31.316400,56.428100,25.111700
node[10],10.0.3.75,31.316400,56.428100,25.111700
node[4],10.0.3.75,31.316400,50.771000,19.454600
node[64],10.0.3.75,31.316400,50.771000,19.454600
node[72],10.0.3.75,31.316400,50.771000,19.454600
node[40],10.0.3.75,31.316400,50.771000,19.454600
node[103],10.0.3.75,31.316400,35.078700,3.762300
node[103],10.0.0.9,31.320800,81.666100,50.345300
node[65],10.0.4.164,31.345500,36.928900,5.583400
node[2],10.0.4.164,31.345500,38.773600,7.428100
