Node,Destination,Lifetime_Start,Lifetime_End,Duration
node[107],10.0.0.9,30.003700,71.583300,41.579600
node[130],10.0.0.9,30.003700,94.345800,64.342100
node[229],10.0.0.9,30.003700,69.794100,39.790400
node[244],10.0.0.9,30.003700,71.263000,41.259300
node[35],10.0.0.9,30.003700,71.345100,41.341400
node[250],10.0.0.9,30.003700,63.517700,33.514000
node[258],10.0.0.9,30.003700,71.342300,41.338600
node[35],10.0.66.24,30.005700,48.223200,18.217500
rsu[0],10.0.66.24,30.005700,38.806200,8.800500
node[7],10.0.0.9,30.005700,71.266400,41.260700
node[32],10.0.66.24,30.005700,49.980400,19.974700
node[95],10.0.66.24,30.005700,46.117700,16.112000
node[95],10.0.0.9,30.005700,71.266400,41.260700
node[262],10.0.66.24,30.005700,33.371200,3.365500
node[262],10.0.0.9,30.005700,65.026800,35.021100
node[262],10.0.0.9,76.429500,81.709500,5.280000
node[130],10.0.29.43,30.006900,45.169200,15.162300
node[229],10.0.29.43,30.006900,44.189600,14.182700
rsu[0],10.0.29.43,30.006900,34.245500,4.238600
node[282],10.0.29.43,30.006900,52.263000,22.256100
node[258],10.0.29.43,30.006900,34.555700,4.548800
node[250],10.0.29.43,30.006900,34.245500,4.238600
node[14],10.0.29.43,30.006900,35.581800,5.574900
node[14],10.0.0.9,30.006900,65.190400,35.183500
node[14],10.0.0.9,88.427700,93.787700,5.360000
node[205],10.0.29.43,30.006900,34.245500,4.238600
node[205],10.0.0.9,30.006900,65.113500,35.106600
node[205],10.0.0.9,83.550800,93.711000,10.160200
node[244],10.0.9.195,30.008100,49.956800,19.948700
node[281],10.0.9.195,30.008100,74.729400,44.721300
node[281],10.0.0.9,30.008100,94.345800,64.337700
node[95],10.0.9.195,30.008100,61.511100,31.503000
node[157],10.0.9.195,30.008100,47.266000,17.257900
node[157],10.0.0.9,30.008100,75.609400,45.601300
rsu[0],10.0.9.195,30.008100,39.543300,9.535200
rsu[0],10.0.9.195,44.993500,57.705900,12.712400
node[254],10.0.9.195,30.008100,43.777700,13.769600
node[254],10.0.0.9,30.008100,78.503200,48.495100
node[7],10.0.9.195,30.008100,39.870600,9.862500
node[7],10.0.9.195,59.105500,104.680000,45.574500
node[107],10.0.35.94,30.008400,45.266600,15.258200
node[229],10.0.35.94,30.008400,77.665400,47.657000
rsu[0],10.0.35.94,30.008400,38.542100,8.533700
node[250],10.0.35.94,30.008400,66.956600,36.948200
node[250],10.0.35.94,75.665400,77.665400,2.000000
node[282],10.0.35.94,30.008400,59.696800,29.688400
node[282],10.0.35.94,75.665400,77.665400,2.000000
node[205],10.0.35.94,30.008400,35.529200,5.520800
node[258],10.0.35.94,30.008400,38.870800,8.862400
node[14],10.0.35.94,30.008400,42.988200,12.979800
node[221],10.0.25.239,30.062300,135.768000,105.705700
node[157],10.0.25.239,30.062300,44.189100,14.126800
node[262],10.0.25.239,30.062300,45.265000,15.202700
node[7],10.0.25.239,30.062300,45.265000,15.202700
node[32],10.0.25.239,30.062300,52.595600,22.533300
node[254],10.0.25.239,30.062300,45.410600,15.348300
node[35],10.0.25.239,30.062300,44.945400,14.883100
node[142],10.0.25.239,30.062300,45.356300,15.294000
node[244],10.0.25.239,30.062300,33.128100,3.065800
node[287],10.0.25.239,30.062300,43.819000,13.756700
node[32],10.0.2.55,30.235800,46.231200,15.995400
node[262],10.0.2.55,30.235800,43.830200,13.594400
node[95],10.0.2.55,30.235800,56.261700,26.025900
node[257],10.0.2.55,30.235800,48.227200,17.991400
node[124],10.0.2.55,30.235800,39.129700,8.893900
node[244],10.0.2.55,30.235800,34.592200,4.356400
node[221],10.0.2.55,30.235800,47.242100,17.006300
node[35],10.0.2.55,30.235800,39.157900,8.922100
node[35],10.0.2.55,61.041200,66.301300,5.260100
