[200-10]
 Node       B       W       L       P
    1 72.4638 72.4638 71.4286 71.4286
    2 79.7101 79.7101 92.7536 92.7536
    3 79.7101 79.7101 76.8116 76.8116
    4 60.8696 50.7246 56.5217 57.9710
    5 92.7536 88.4058 91.3043 91.3043
    6 78.2609 78.2609 78.2609 78.2609
   13 49.2754 49.2754 47.8261 47.8261
   14 75.3623 75.3623 89.8551 89.8551
   15 88.4058 71.0145 91.3043 92.7536
   17 78.2609 78.2609 73.9130 73.9130

[200-20]
 Node       B       W       L       P
    0 50.7246 44.9275 47.8261 50.7246
    4 56.5217 43.4783 46.3768 66.6667
    5 95.6522 95.6522 97.1014 97.1014
    6 73.9130 36.2319 85.5072 84.0580
    9 56.5217 43.4783 62.3188 62.3188
   10 39.1304 11.5942 52.1739 66.6667
   11 62.3188 62.3188 44.9275 40.5797
   15 86.9565 86.9565 88.4058 89.8551
   16 71.0145 60.8696 69.5652 65.2174
   18 71.0145 68.1159 68.1159 81.1594

[200-30]
 Node       B       W       L       P
    8 49.2754 28.9855 37.6812 33.3333
   11 56.5217 24.6377 33.3333 52.1739
   13 79.7101 52.1739 39.1304 59.4203
   14 73.9130 63.7681 72.4638 78.2609
   15 66.6667 44.9275 43.4783 46.3768
   16 85.5072 68.1159 39.1304 49.2754
   17 98.5507 98.5507 46.3768 62.3188
   18 86.9565 63.7681 42.0290 56.5217
   25 91.3043 86.9565 63.7681 59.4203
   27 52.1739 18.8406 56.5217 60.8696

[300-10]
 Node       B       W       L       P
    2 94.2029 94.2029 88.4058 94.2029
    5 91.3043 91.3043 82.6087 91.3043
    8 92.7536 92.7536 88.4058 86.9565
    9 89.8551 88.4058 84.0580 85.5072
   10 92.7536 92.7536 88.4058 92.7536
   12 86.9565 86.9565 84.0580 85.5072
   13 86.9565 86.9565 88.4058 86.9565
   16 89.8551 89.8551 91.3043 94.2029
   19 82.6087 82.6087 88.4058 86.9565
   20 94.2029 94.2029 91.3043 91.3043

[300-20]
 Node       B       W       L       P
    0 91.3043 82.6087 62.3188 89.8551
    4 81.1594 63.7681 60.8696 60.8696
    6 85.5072 81.1594 71.0145 85.5072
    9 82.6087 66.6667 53.6232 50.7246
   16 84.0580 78.2609 84.0580 86.9565
   18 81.1594 79.7101 78.2609 79.7101
   19 88.4058 62.3188 76.8116 84.0580
   23 92.7536 86.9565 88.4058 84.0580
   24 79.7101 37.6812 57.9710 73.9130
   26 76.8116 40.5797 71.0145 69.5652

[300-30]
 Node       B       W       L       P
    4 63.7681 28.9855 52.1739 62.3188
    5 66.6667 66.6667 47.8261 63.7681
    6 69.5652 56.5217 49.2754 56.5217
    9 78.2609 56.5217 56.5217 69.5652
   10 92.7536 73.9130 72.4638 72.4638
   14 89.8551 43.4783 75.3623 79.7101
   16 69.5652 33.3333 81.1594 79.7101
   18 81.1594 79.7101 72.4638 85.5072
   20 46.3768 23.1884 62.3188 66.6667
   21 72.4638 47.8261 50.7246 73.9130

[400-10]
 Node       B       W       L       P
    2 97.1014 95.6522 89.8551 97.1014
    5 94.2029 92.7536 89.8551 88.4058
    6 94.2029 94.2029 94.2029 94.2029
   10 98.5507 98.5507 97.1014 97.1014
   11 92.7536 92.7536 69.5652 84.0580
   13 88.4058 86.9565 66.6667 81.1594
   14 95.6522 95.6522 92.7536 92.7536
   18 81.1594 28.9855 85.5072 86.9565
   21 75.3623 75.3623 79.7101 86.9565
   27 91.3043 89.8551 86.9565 91.3043

[400-20]
 Node        B        W       L       P
    8  85.5072  36.2319 55.0725 85.5072
    9  68.1159  39.1304 78.2609 78.2609
   11  84.0580  43.4783 53.6232 69.5652
   12  78.2609  15.9420 33.3333 59.4203
   13  76.8116  60.8696 66.6667 85.5072
   14  88.4058  81.1594 86.9565 85.5072
   15  86.9565  86.9565 81.1594 86.9565
   16  85.5072  68.1159 71.0145 75.3623
   17 100.0000 100.0000 98.5507 98.5507
   18  85.5072  84.0580 75.3623 81.1594

[400-30]
 Node       B        W       L       P
    2 73.9130 55.07250 69.5652 78.2609
    5 68.1159 55.07250 60.8696 62.3188
    6 66.6667 18.84060 66.6667 68.1159
   10 69.5652 57.97100 46.3768 78.2609
   11 78.2609 43.47830 59.4203 76.8116
   13 63.7681  8.69565 57.9710 72.4638
   14 69.5652 53.62320 78.2609 78.2609
   18 75.3623 66.66670 78.2609 76.8116
   21 78.2609 17.39130 63.7681 72.4638
   27 76.8116 37.68120 52.1739 60.8696

