episode,t,x,action,x2,reward,done
1,1,-0.8790544592838447,-1,-1.8292363310375541,-1.8292363310375541,0
1,2,-1.8292363310375541,-1,-2.759314356354502,-2.759314356354502,0
1,3,-2.759314356354502,-1,-3.874013666412408,-3.874013666412408,0
1,4,-3.874013666412408,-1,-4.797548445349618,-4.797548445349618,0
1,5,-4.797548445349618,-1,-5.817071710254508,-5.817071710254508,0
1,6,-5.817071710254508,-1,-6.732916563238808,-6.732916563238808,1
2,1,2.755175158488113,1,3.7163612862617112,-3.7163612862617112,0
2,2,3.7163612862617112,1,4.859763486285504,-4.859763486285504,0
2,3,4.859763486285504,1,5.7884871192361125,-5.7884871192361125,0
2,4,5.7884871192361125,1,6.857638318743466,-6.857638318743466,1
3,1,3.0438962672867493,1,3.800619547693291,-3.800619547693291,0
3,2,3.800619547693291,1,4.751271220077644,-4.751271220077644,0
3,3,4.751271220077644,1,5.885115888061211,-5.885115888061211,0
3,4,5.885115888061211,1,6.961132623915771,-6.961132623915771,1
4,1,2.5344848009067267,1,3.499311794823223,-3.499311794823223,0
4,2,3.499311794823223,1,4.760749355188027,-4.760749355188027,0
4,3,4.760749355188027,1,5.713720859303906,-5.713720859303906,0
4,4,5.713720859303906,1,6.854298405654992,-6.854298405654992,1
5,1,4.85312319979905,1,5.8169212090379805,-5.8169212090379805,0
5,2,5.8169212090379805,1,7.001034993381747,-7.001034993381747,1
6,1,1.1812081941021058,1,2.121878922576211,-2.121878922576211,0
6,2,2.121878922576211,1,3.0959611059061842,-3.0959611059061842,0
6,3,3.0959611059061842,1,4.109955263211009,-4.109955263211009,0
6,4,4.109955263211009,1,5.009164043335439,-5.009164043335439,0
6,5,5.009164043335439,1,5.8954177703461434,-5.8954177703461434,0
6,6,5.8954177703461434,1,6.872285942617285,-6.872285942617285,1
7,1,-2.1934100684929057,-1,-3.277960893580123,-3.277960893580123,0
7,2,-3.277960893580123,-1,-4.311989333337606,-4.311989333337606,0
7,3,-4.311989333337606,-1,-5.374589405692893,-5.374589405692893,0
7,4,-5.374589405692893,-1,-6.364251406602358,-6.364251406602358,1
8,1,3.919353695221803,1,4.990782283896868,-4.990782283896868,0
8,2,4.990782283896868,1,6.0316722099974855,-6.0316722099974855,1
9,1,1.1838268853247342,1,2.212495372074079,-2.212495372074079,0
9,2,2.212495372074079,1,3.1682420399849396,-3.1682420399849396,0
9,3,3.1682420399849396,1,4.1455698044704175,-4.1455698044704175,0
9,4,4.1455698044704175,1,5.076295761799566,-5.076295761799566,0
9,5,5.076295761799566,1,5.9678539528372445,-5.9678539528372445,0
9,6,5.9678539528372445,1,6.921198114416445,-6.921198114416445,1
10,1,0.9037836358593241,1,2.020508864607066,-2.020508864607066,0
10,2,2.020508864607066,1,2.957682807035413,-2.957682807035413,0
10,3,2.957682807035413,1,3.8743896529377975,-3.8743896529377975,0
10,4,3.8743896529377975,1,4.868058784136558,-4.868058784136558,0
10,5,4.868058784136558,1,5.840935236662697,-5.840935236662697,0
10,6,5.840935236662697,1,6.948213836313453,-6.948213836313453,1
11,1,-0.46422395795366356,-1,-1.6279685459079816,-1.6279685459079816,0
11,2,-1.6279685459079816,-1,-2.5671128297824835,-2.5671128297824835,0
11,3,-2.5671128297824835,-1,-3.7301644786667354,-3.7301644786667354,0
11,4,-3.7301644786667354,-1,-4.781919789355439,-4.781919789355439,0
11,5,-4.781919789355439,-1,-5.968379239885334,-5.968379239885334,0
11,6,-5.968379239885334,-1,-6.892634340985516,-6.892634340985516,1
12,1,1.1623936547695894,1,2.1947905100419978,-2.1947905100419978,0
12,2,2.1947905100419978,1,3.1425005928364746,-3.1425005928364746,0
12,3,3.1425005928364746,1,4.169830374109716,-4.169830374109716,0
12,4,4.169830374109716,1,5.157297150445086,-5.157297150445086,0
12,5,5.157297150445086,1,6.121139380468818,-6.121139380468818,1
13,1,1.9429767236928095,1,3.1832133433667216,-3.1832133433667216,0
13,2,3.1832133433667216,1,4.379751979100963,-4.379751979100963,0
13,3,4.379751979100963,1,5.442359270090059,-5.442359270090059,0
13,4,5.442359270090059,1,6.460020640827127,-6.460020640827127,1
14,1,1.3025557342714045,1,2.1914822890764714,-2.1914822890764714,0
14,2,2.1914822890764714,1,3.133341085511207,-3.133341085511207,0
14,3,3.133341085511207,1,4.073445284450177,-4.073445284450177,0
14,4,4.073445284450177,1,5.081208456717011,-5.081208456717011,0
14,5,5.081208456717011,1,6.081669439391855,-6.081669439391855,1
15,1,-3.655093021389307,-1,-4.657180354099232,-4.657180354099232,0
15,2,-4.657180354099232,-1,-5.620250274784439,-5.620250274784439,0
15,3,-5.620250274784439,-1,-6.624719022875624,-6.624719022875624,1
16,1,-3.626956822330456,-1,-4.6835788182049365,-4.6835788182049365,0
16,2,-4.6835788182049365,-1,-5.627669438216446,-5.627669438216446,0
16,3,-5.627669438216446,-1,-6.692123950364852,-6.692123950364852,1
17,1,4.611964377357619,1,5.642984996337137,-5.642984996337137,0
