episode,t,x,action,x2,reward,done
1,1,3.093963682737483,1,4.1336107601767775,-4.1336107601767775,0
1,2,4.1336107601767775,1,5.150756047707191,-5.150756047707191,0
1,3,5.150756047707191,1,6.1965562552950155,-6.1965562552950155,1
2,1,-0.8726987161319499,-1,-1.7284594556490602,-1.7284594556490602,0
2,2,-1.7284594556490602,-1,-2.8227824768371623,-2.8227824768371623,0
2,3,-2.8227824768371623,-1,-3.8061348332544833,-3.8061348332544833,0
2,4,-3.8061348332544833,-1,-4.950890466866444,-4.950890466866444,0
2,5,-4.950890466866444,-1,-6.031470544433089,-6.031470544433089,1
3,1,-3.9763157720624065,-1,-5.017203099749457,-5.017203099749457,0
3,2,-5.017203099749457,-1,-5.92229273627397,-5.92229273627397,0
3,3,-5.92229273627397,-1,-6.928108181173103,-6.928108181173103,1
4,1,4.76769388965057,1,5.705460235030313,-5.705460235030313,0
4,2,5.705460235030313,1,6.7297500538738815,-6.7297500538738815,1
5,1,-0.8870219147627836,-1,-1.8709890231151072,-1.8709890231151072,0
5,2,-1.8709890231151072,-1,-2.8782878424117393,-2.8782878424117393,0
5,3,-2.8782878424117393,-1,-4.011176268113291,-4.011176268113291,0
5,4,-4.011176268113291,-1,-5.2187550011495,-5.2187550011495,0
5,5,-5.2187550011495,-1,-6.317538493585742,-6.317538493585742,1
6,1,-3.891273792462445,-1,-4.834242035728339,-4.834242035728339,0
6,2,-4.834242035728339,-1,-5.9671719305208395,-5.9671719305208395,0
6,3,-5.9671719305208395,-1,-6.917058050354737,-6.917058050354737,1
7,1,-0.6460468898127258,-1,-1.7257332548795359,-1.7257332548795359,0
7,2,-1.7257332548795359,-1,-2.5551323922963523,-2.5551323922963523,0
7,3,-2.5551323922963523,-1,-3.60186453484712,-3.60186453484712,0
7,4,-3.60186453484712,-1,-4.622013349379515,-4.622013349379515,0
7,5,-4.622013349379515,-1,-5.665409017879522,-5.665409017879522,0
7,6,-5.665409017879522,-1,-6.772302992199938,-6.772302992199938,1
8,1,-2.71238599794531,-1,-3.697975871857251,-3.697975871857251,0
8,2,-3.697975871857251,-1,-4.762766984281439,-4.762766984281439,0
8,3,-4.762766984281439,-1,-5.719981294611313,-5.719981294611313,0
8,4,-5.719981294611313,-1,-6.758341178507574,-6.758341178507574,1
9,1,-1.6890549290833645,-1,-2.693155102785604,-2.693155102785604,0
9,2,-2.693155102785604,-1,-3.484801384645591,-3.484801384645591,0
9,3,-3.484801384645591,-1,-4.511362030428911,-4.511362030428911,0
9,4,-4.511362030428911,-1,-5.566158020018486,-5.566158020018486,0
9,5,-5.566158020018486,-1,-6.364544115761571,-6.364544115761571,1
10,1,1.760602332310115,1,2.669545168361725,-2.669545168361725,0
10,2,2.669545168361725,1,3.687192855265177,-3.687192855265177,0
10,3,3.687192855265177,1,4.590770993204203,-4.590770993204203,0
10,4,4.590770993204203,1,5.545341489769778,-5.545341489769778,0
10,5,5.545341489769778,1,6.353780908834227,-6.353780908834227,1
11,1,4.1415052656664475,1,5.033778436133794,-5.033778436133794,0
11,2,5.033778436133794,1,6.020822661741524,-6.020822661741524,1
12,1,1.9911630393752722,1,2.9866288862894996,-2.9866288862894996,0
12,2,2.9866288862894996,1,4.091110068637496,-4.091110068637496,0
12,3,4.091110068637496,1,5.182407204836587,-5.182407204836587,0
12,4,5.182407204836587,1,6.13338070310986,-6.13338070310986,1
13,1,-2.197037999020054,-1,-3.207906358752867,-3.207906358752867,0
13,2,-3.207906358752867,-1,-4.295329601953082,-4.295329601953082,0
13,3,-4.295329601953082,-1,-5.132309155038904,-5.132309155038904,0
13,4,-5.132309155038904,-1,-6.112874471087121,-6.112874471087121,1
14,1,-3.470230936729406,-1,-4.588538067094438,-4.588538067094438,0
14,2,-4.588538067094438,-1,-5.681125735773155,-5.681125735773155,0
14,3,-5.681125735773155,-1,-6.44487589837005,-6.44487589837005,1
15,1,1.5208080734453961,1,2.508018627824543,-2.508018627824543,0
15,2,2.508018627824543,1,3.45097064232768,-3.45097064232768,0
15,3,3.45097064232768,1,4.241881353865796,-4.241881353865796,0
15,4,4.241881353865796,1,5.319090226507444,-5.319090226507444,0
15,5,5.319090226507444,1,6.23855300795302,-6.23855300795302,1
16,1,-0.8279573419720503,-1,-1.9384987256835777,-1.9384987256835777,0
16,2,-1.9384987256835777,-1,-2.922782945377339,-2.922782945377339,0
16,3,-2.922782945377339,-1,-3.852297627715162,-3.852297627715162,0
16,4,-3.852297627715162,-1,-4.707944378939297,-4.707944378939297,0
16,5,-4.707944378939297,-1,-5.62327035140236,-5.62327035140236,0
16,6,-5.62327035140236,-1,-6.639079486877544,-6.639079486877544,1
17,1,-1.065605137096326,-1,-1.8952953196328288,-1.8952953196328288,0
17,2,-1.8952953196328288,-1,-2.8344875783224235,-2.8344875783224235,0
17,3,-2.8344875783224235,-1,-3.945907457972048,-3.945907457972048,0
17,4,-3.945907457972048,-1,-4.816397098804836,-4.816397098804836,0
17,5,-4.816397098804836,-1,-5.858114076213432,-5.858114076213432,0
17,6,-5.858114076213432,-1,-6.68933906442915,-6.68933906442915,1
18,1,-3.077732219089305,-1,-3.966077229663488,-3.966077229663488,0
18,2,-3.966077229663488,-1,-4.9331857077551495,-4.9331857077551495,0
18,3,-4.9331857077551495,-1,-5.695660776735783,-5.695660776735783,0
18,4,-5.695660776735783,-1,-6.855636942018693,-6.855636942018693,1
19,1,-1.446650034568128,-1,-2.3742273108580925,-2.3742273108580925,0
19,2,-2.3742273108580925,-1,-3.282843319331485,-3.282843319331485,0
19,3,-3.282843319331485,-1,-4.190948583253471,-4.190948583253471,0
19,4,-4.190948583253471,-1,-5.118312639047364,-5.118312639047364,0
19,5,-5.118312639047364,-1,-6.082906245196542,-6.082906245196542,1
20,1,0.011850189814720302,-1,-0.9236356908693056,-0.9236356908693056,0
20,2,-0.9236356908693056,-1,-2.0879211779381204,-2.0879211779381204,0
20,3,-2.0879211779381204,-1,-3.1689606927094682,-3.1689606927094682,0
20,4,-3.1689606927094682,-1,-4.318111323903855,-4.318111323903855,0
20,5,-4.318111323903855,-1,-5.486195863953666,-5.486195863953666,0
20,6,-5.486195863953666,-1,-6.485390743126578,-6.485390743126578,1
21,1,1.7218647182457092,1,2.7916716363406695,-2.7916716363406695,0
21,2,2.7916716363406695,1,3.6919001210852787,-3.6919001210852787,0
21,3,3.6919001210852787,1,4.713105477258278,-4.713105477258278,0
21,4,4.713105477258278,1,5.743974746335078,-5.743974746335078,0
21,5,5.743974746335078,1,6.363805584520369,-6.363805584520369,1
22,1,1.6274544593871232,1,2.860485242580189,-2.860485242580189,0
22,2,2.860485242580189,1,3.852693681155529,-3.852693681155529,0
22,3,3.852693681155529,1,4.771120812269549,-4.771120812269549,0
22,4,4.771120812269549,1,5.650524243615947,-5.650524243615947,0
22,5,5.650524243615947,1,6.63179859958884,-6.63179859958884,1
23,1,-2.3348885718827006,-1,-3.276816746620892,-3.276816746620892,0
23,2,-3.276816746620892,-1,-4.178058695310749,-4.178058695310749,0
23,3,-4.178058695310749,-1,-5.0929726073455335,-5.0929726073455335,0
23,4,-5.0929726073455335,-1,-6.051252581591361,-6.051252581591361,1
24,1,2.9169019524121795,1,3.9579425377173063,-3.9579425377173063,0
24,2,3.9579425377173063,1,4.941802111544437,-4.941802111544437,0
24,3,4.941802111544437,1,5.911138457541924,-5.911138457541924,0
24,4,5.911138457541924,1,6.9755964334471265,-6.9755964334471265,1
25,1,4.7264483523372665,1,5.736647164933313,-5.736647164933313,0
25,2,5.736647164933313,1,6.466365442871577,-6.466365442871577,1
26,1,2.763771406856775,1,3.668326395941908,-3.668326395941908,0
26,2,3.668326395941908,1,4.529016767374941,-4.529016767374941,0
26,3,4.529016767374941,1,5.531192585390741,-5.531192585390741,0
26,4,5.531192585390741,1,6.690840112041984,-6.690840112041984,1
27,1,-0.5455061230703535,-1,-1.3408762952986224,-1.3408762952986224,0
27,2,-1.3408762952986224,-1,-2.2799853712416827,-2.2799853712416827,0
27,3,-2.2799853712416827,-1,-3.2911240243444735,-3.2911240243444735,0
27,4,-3.2911240243444735,-1,-4.474062226505906,-4.474062226505906,0
27,5,-4.474062226505906,-1,-5.481155405440041,-5.481155405440041,0
27,6,-5.481155405440041,-1,-6.451756039962274,-6.451756039962274,1
28,1,-3.6663516483713154,-1,-4.785095218221623,-4.785095218221623,0
28,2,-4.785095218221623,-1,-5.965347295076135,-5.965347295076135,0
28,3,-5.965347295076135,-1,-6.82820325274046,-6.82820325274046,1
29,1,0.9378567048567721,1,1.925110208697593,-1.925110208697593,0
29,2,1.925110208697593,1,3.03001746387195,-3.03001746387195,0
29,3,3.03001746387195,1,4.208595508025774,-4.208595508025774,0
29,4,4.208595508025774,1,5.208731245968515,-5.208731245968515,0
29,5,5.208731245968515,1,6.2575826353741455,-6.2575826353741455,1
30,1,-3.0362256197384054,-1,-3.8976800279705186,-3.8976800279705186,0
30,2,-3.8976800279705186,-1,-5.040390982701027,-5.040390982701027,0
30,3,-5.040390982701027,-1,-6.013320547830186,-6.013320547830186,1
31,1,0.30792619529982446,-1,-0.58037750723469,-0.58037750723469,0
31,2,-0.58037750723469,-1,-1.5868070725811427,-1.5868070725811427,0
31,3,-1.5868070725811427,-1,-2.4315122619831326,-2.4315122619831326,0
31,4,-2.4315122619831326,-1,-3.4247994261534256,-3.4247994261534256,0
31,5,-3.4247994261534256,-1,-4.5247806490214675,-4.5247806490214675,0
31,6,-4.5247806490214675,-1,-5.4261031348635695,-5.4261031348635695,0
31,7,-5.4261031348635695,-1,-6.585754636018323,-6.585754636018323,1
32,1,1.4087060203479096,1,2.3360971198744087,-2.3360971198744087,0
32,2,2.3360971198744087,1,3.2643621818124076,-3.2643621818124076,0
32,3,3.2643621818124076,1,4.283754170910537,-4.283754170910537,0
32,4,4.283754170910537,1,5.350375214188321,-5.350375214188321,0
32,5,5.350375214188321,1,6.298633252536576,-6.298633252536576,1
33,1,-3.9761142043686313,-1,-4.988547186407791,-4.988547186407791,0
33,2,-4.988547186407791,-1,-5.929064058845598,-5.929064058845598,0
33,3,-5.929064058845598,-1,-7.0267984814468445,-7.0267984814468445,1
34,1,-0.4601799049720503,-1,-1.6103913235386786,-1.6103913235386786,0
34,2,-1.6103913235386786,-1,-2.4087398622968803,-2.4087398622968803,0
34,3,-2.4087398622968803,-1,-3.3362455506915385,-3.3362455506915385,0
34,4,-3.3362455506915385,-1,-4.375938863523025,-4.375938863523025,0
34,5,-4.375938863523025,-1,-5.368939338123611,-5.368939338123611,0
34,6,-5.368939338123611,-1,-6.30379929872554,-6.30379929872554,1
35,1,1.124515525456232,1,2.2572870915749164,-2.2572870915749164,0
35,2,2.2572870915749164,1,3.048184515046288,-3.048184515046288,0
35,3,3.048184515046288,1,4.027665016268844,-4.027665016268844,0
35,4,4.027665016268844,1,4.938959946541002,-4.938959946541002,0
35,5,4.938959946541002,1,5.865044461073539,-5.865044461073539,0
35,6,5.865044461073539,1,6.768636576876534,-6.768636576876534,1
36,1,3.3099734028374534,1,4.406155453800188,-4.406155453800188,0
36,2,4.406155453800188,1,5.244220908392809,-5.244220908392809,0
36,3,5.244220908392809,1,6.254896180833301,-6.254896180833301,1
37,1,-4.318863326243994,-1,-5.19906531959469,-5.19906531959469,0
37,2,-5.19906531959469,-1,-6.129543884341114,-6.129543884341114,1
38,1,-2.446286802385711,-1,-3.447743331472693,-3.447743331472693,0
38,2,-3.447743331472693,-1,-4.512861607118992,-4.512861607118992,0
38,3,-4.512861607118992,-1,-5.338244226257418,-5.338244226257418,0
38,4,-5.338244226257418,-1,-6.215665123667315,-6.215665123667315,1
39,1,-3.5034883312735845,-1,-4.376298496353061,-4.376298496353061,0
39,2,-4.376298496353061,-1,-5.371042850240584,-5.371042850240584,0
39,3,-5.371042850240584,-1,-6.412965701764742,-6.412965701764742,1
40,1,2.610494926563641,1,3.659731347223628,-3.659731347223628,0
40,2,3.659731347223628,1,4.6761478720308105,-4.6761478720308105,0
40,3,4.6761478720308105,1,5.5313170228232895,-5.5313170228232895,0
40,4,5.5313170228232895,1,6.7339728296403765,-6.7339728296403765,1
41,1,-0.9450157161255781,-1,-2.0338706646287092,-2.0338706646287092,0
41,2,-2.0338706646287092,-1,-3.0541955585837597,-3.0541955585837597,0
41,3,-3.0541955585837597,-1,-4.078560535745989,-4.078560535745989,0
41,4,-4.078560535745989,-1,-5.2194608848142865,-5.2194608848142865,0
41,5,-5.2194608848142865,-1,-6.393066742441233,-6.393066742441233,1
42,1,-1.3328853316203904,-1,-2.3892457279589716,-2.3892457279589716,0
42,2,-2.3892457279589716,-1,-3.4793422526999693,-3.4793422526999693,0
42,3,-3.4793422526999693,-1,-4.274280597864054,-4.274280597864054,0
42,4,-4.274280597864054,-1,-5.256690734513381,-5.256690734513381,0
42,5,-5.256690734513381,-1,-6.330797431433836,-6.330797431433836,1
43,1,-0.002243592636936853,-1,-0.9264074108164824,-0.9264074108164824,0
43,2,-0.9264074108164824,-1,-1.9154152824748263,-1.9154152824748263,0
43,3,-1.9154152824748263,-1,-2.8078779066768265,-2.8078779066768265,0
43,4,-2.8078779066768265,-1,-3.98377516384523,-3.98377516384523,0
43,5,-3.98377516384523,-1,-5.062668839454517,-5.062668839454517,0
43,6,-5.062668839454517,-1,-5.844548824085618,-5.844548824085618,0
43,7,-5.844548824085618,-1,-6.870595913057538,-6.870595913057538,1
44,1,1.4201296586980403,1,2.321790103163585,-2.321790103163585,0
44,2,2.321790103163585,1,3.29667111300571,-3.29667111300571,0
44,3,3.29667111300571,1,4.123801319043079,-4.123801319043079,0
44,4,4.123801319043079,1,5.168446487109935,-5.168446487109935,0
44,5,5.168446487109935,1,6.228111604867215,-6.228111604867215,1
45,1,0.19866291718140694,-1,-0.7609487533043188,-0.7609487533043188,0
45,2,-0.7609487533043188,-1,-1.895251530857571,-1.895251530857571,0
45,3,-1.895251530857571,-1,-2.903774772408097,-2.903774772408097,0
45,4,-2.903774772408097,-1,-3.907039355183661,-3.907039355183661,0
45,5,-3.907039355183661,-1,-4.865353257869031,-4.865353257869031,0
45,6,-4.865353257869031,-1,-5.913286351540084,-5.913286351540084,0
45,7,-5.913286351540084,-1,-6.689870278307108,-6.689870278307108,1
46,1,4.979474516406459,1,5.88427027404312,-5.88427027404312,0
46,2,5.88427027404312,1,6.9069337958302714,-6.9069337958302714,1
47,1,-3.8883708817582385,-1,-4.975351668896031,-4.975351668896031,0
47,2,-4.975351668896031,-1,-5.878186239895185,-5.878186239895185,0
47,3,-5.878186239895185,-1,-6.880489173622269,-6.880489173622269,1
48,1,4.577937167990276,1,5.509422380550605,-5.509422380550605,0
48,2,5.509422380550605,1,6.385991859323857,-6.385991859323857,1
49,1,1.2214478656797798,1,2.40132466741974,-2.40132466741974,0
49,2,2.40132466741974,1,3.2945679564817687,-3.2945679564817687,0
49,3,3.2945679564817687,1,4.149735491436493,-4.149735491436493,0
49,4,4.149735491436493,1,5.161204899563549,-5.161204899563549,0
49,5,5.161204899563549,1,6.3136216726167795,-6.3136216726167795,1
50,1,4.62219191604242,1,5.802674619982305,-5.802674619982305,0
50,2,5.802674619982305,1,7.0645458239798264,-7.0645458239798264,1
