s0,action,reward,s2_0,done
-1.254598811526375,-1,-2.3657868233310673,-2.3657868233310673,0
-2.3657868233310673,-1,-3.333896604862129,-3.333896604862129,0
-3.333896604862129,1,-2.3059924756421153,-2.3059924756421153,0
-2.3059924756421153,-1,-3.2049409471614627,-3.2049409471614627,0
-3.2049409471614627,-1,-4.263028760563814,-4.263028760563814,0
-4.263028760563814,-1,-5.315545741281629,-5.315545741281629,0
-5.315545741281629,-1,-6.372683757857043,-6.372683757857043,1
0.24756431632237863,-1,-0.8448439674523318,-0.8448439674523318,0
-0.8448439674523318,1,-0.017335750703635106,-0.017335750703635106,0
-0.017335750703635106,-1,-1.0735645036277324,-1.0735645036277324,0
-1.0735645036277324,-1,-2.174847615661175,-2.174847615661175,0
-2.174847615661175,-1,-3.143422882401648,-3.143422882401648,0
-3.143422882401648,-1,-4.234225289953769,-4.234225289953769,0
-4.234225289953769,-1,-5.375455660087298,-5.375455660087298,0
-5.375455660087298,-1,-6.228890783195143,-6.228890783195143,1
-3.003262178416403,-1,-4.025839808465056,-4.025839808465056,0
-4.025839808465056,1,-2.769891005361277,-2.769891005361277,0
-2.769891005361277,-1,-3.730467703173317,-3.730467703173317,0
-3.730467703173317,1,-2.7182457866510488,-2.7182457866510488,0
-2.7182457866510488,1,-1.7697893528602942,-1.7697893528602942,0
-1.7697893528602942,-1,-2.829814737870885,-2.829814737870885,0
-2.829814737870885,-1,-3.735070755766221,-3.735070755766221,0
-3.735070755766221,1,-2.705967355640003,-2.705967355640003,0
-2.705967355640003,1,-1.769523329667467,-1.769523329667467,0
-1.769523329667467,1,-0.8716785491350268,-0.8716785491350268,0
-0.8716785491350268,-1,-1.8878540877747791,-1.8878540877747791,0
-1.8878540877747791,-1,-2.941218968159028,-2.941218968159028,0
-2.941218968159028,1,-1.9417717543910409,-1.9417717543910409,0
-1.9417717543910409,-1,-2.9647167997742367,-2.9647167997742367,0
-2.9647167997742367,-1,-3.9257819084486245,-3.9257819084486245,0
-3.9257819084486245,1,-3.0522938198408887,-3.0522938198408887,0
-3.0522938198408887,-1,-3.943094593405122,-3.943094593405122,0
-3.943094593405122,1,-2.6652632892498778,-2.6652632892498778,0
-2.6652632892498778,1,-1.545899316821646,-1.545899316821646,0
-1.545899316821646,1,-0.5240354852162596,-0.5240354852162596,0
4.218742350231167,-1,-3.3069184541260284,3.3069184541260284,0
3.3069184541260284,1,-4.295353625887205,4.295353625887205,0
4.295353625887205,-1,-3.265243256328276,3.265243256328276,0
3.265243256328276,1,-4.117391057291533,4.117391057291533,0
4.117391057291533,-1,-3.045406636452062,3.045406636452062,0
3.045406636452062,1,-3.9993427593560837,3.9993427593560837,0
3.9993427593560837,1,-5.105054981977975,5.105054981977975,0
5.105054981977975,-1,-4.139416810934821,4.139416810934821,0
4.139416810934821,-1,-2.9631127953985477,2.9631127953985477,0
2.9631127953985477,-1,-1.9955211923380272,1.9955211923380272,0
1.9955211923380272,-1,-0.9570129642963955,0.9570129642963955,0
0.9570129642963955,1,-1.8893207642657994,1.8893207642657994,0
1.8893207642657994,-1,-0.9504883931498862,0.9504883931498862,0
0.9504883931498862,-1,-0.053588345399481305,0.053588345399481305,0
0.053588345399481305,-1,-0.8532836426888988,-0.8532836426888988,0
-0.8532836426888988,1,-0.06279460498883736,0.06279460498883736,0
0.06279460498883736,1,-1.0318733674037157,1.0318733674037157,0
1.0318733674037157,1,-2.064999710544072,2.064999710544072,0
2.064999710544072,1,-3.1625542232563078,3.1625542232563078,0
3.1625542232563078,-1,-2.114636799471779,2.114636799471779,0
-1.890176782843378,1,-0.9087426805097597,-0.9087426805097597,0
-0.9087426805097597,1,-0.20922895396031038,0.20922895396031038,0
0.20922895396031038,-1,-0.8805918399852575,-0.8805918399852575,0
-0.8805918399852575,1,-0.20288770193778538,0.20288770193778538,0
0.20288770193778538,-1,-0.7674561596293176,-0.7674561596293176,0
-0.7674561596293176,-1,-1.8712391472808656,-1.8712391472808656,0
-1.8712391472808656,-1,-2.8788195217836843,-2.8788195217836843,0
-2.8788195217836843,-1,-3.7815231684081057,-3.7815231684081057,0
-3.7815231684081057,1,-2.7019636220185115,-2.7019636220185115,0
-2.7019636220185115,1,-1.552420196730164,-1.552420196730164,0
-1.552420196730164,1,-0.5186020715308322,-0.5186020715308322,0
-0.5186020715308322,-1,-1.1813724461681647,-1.1813724461681647,0
-1.1813724461681647,1,-0.2734115266749023,-0.2734115266749023,0
-0.2734115266749023,-1,-1.3132753656764224,-1.3132753656764224,0
-1.3132753656764224,-1,-2.3193617744238972,-2.3193617744238972,0
-2.3193617744238972,-1,-3.4612368202830375,-3.4612368202830375,0
-3.4612368202830375,1,-2.3569876585490954,-2.3569876585490954,0
-2.3569876585490954,1,-1.2666344094865112,-1.2666344094865112,0
-1.2666344094865112,1,-0.26473437638029623,-0.26473437638029623,0
-0.26473437638029623,-1,-1.3181760217476468,-1.3181760217476468,0
2.5555113854304867,-1,-1.4060059983490532,1.4060059983490532,0
1.4060059983490532,1,-2.3251566380597346,2.3251566380597346,0
2.3251566380597346,-1,-1.274980933701281,1.274980933701281,0
1.274980933701281,1,-2.3665211454714883,2.3665211454714883,0
2.3665211454714883,1,-3.399396256437457,3.399396256437457,0
3.399396256437457,1,-4.346420236060753,4.346420236060753,0
4.346420236060753,-1,-3.397746979372089,3.397746979372089,0
3.397746979372089,1,-4.407454734306893,4.407454734306893,0
4.407454734306893,-1,-3.504319233360182,3.504319233360182,0
3.504319233360182,-1,-2.434113923972447,2.434113923972447,0
2.434113923972447,1,-3.4013477093126703,3.4013477093126703,0
3.4013477093126703,1,-4.3621368939994545,4.3621368939994545,0
4.3621368939994545,1,-5.215785399186243,5.215785399186243,0
5.215785399186243,1,-6.2453974268927,6.2453974268927,1
-4.930478694688093,-1,-5.904373167470104,-5.904373167470104,0
-5.904373167470104,-1,-7.169890772226451,-7.169890772226451,1
-2.7789218952926973,1,-1.7443701009038206,-1.7443701009038206,0
-1.7443701009038206,-1,-2.7786415525564974,-2.7786415525564974,0
-2.7786415525564974,-1,-3.858869279478659,-3.858869279478659,0
-3.858869279478659,-1,-4.8749978506452605,-4.8749978506452605,0
-4.8749978506452605,-1,-5.834592764963807,-5.834592764963807,0
-5.834592764963807,-1,-6.645974174842753,-6.645974174842753,1
-1.3637039762070602,1,-0.3462461949238763,-0.3462461949238763,0
-0.3462461949238763,-1,-1.3481012753750405,-1.3481012753750405,0
-1.3481012753750405,1,-0.5154517375740628,-0.5154517375740628,0
-0.5154517375740628,1,-0.3772950789823714,0.3772950789823714,0
0.3772950789823714,1,-1.2780364610420525,1.2780364610420525,0
1.2780364610420525,1,-2.2882712292970195,2.2882712292970195,0
2.2882712292970195,-1,-1.2450103012422182,1.2450103012422182,0
1.2450103012422182,-1,-0.17909207099857044,0.17909207099857044,0
0.17909207099857044,1,-1.1794858014417107,1.1794858014417107,0
1.1794858014417107,1,-2.2272612113850636,2.2272612113850636,0
2.2272612113850636,-1,-1.2013583469111746,1.2013583469111746,0
1.2013583469111746,1,-2.1438874261498344,2.1438874261498344,0
2.1438874261498344,1,-3.101737604115846,3.101737604115846,0
3.101737604115846,-1,-2.1357197005345108,2.1357197005345108,0
2.1357197005345108,1,-3.1349816855400534,3.1349816855400534,0
3.1349816855400534,-1,-2.211711369410694,2.211711369410694,0
2.211711369410694,1,-3.096732111661258,3.096732111661258,0
3.096732111661258,-1,-2.0191985010655635,2.0191985010655635,0
2.0191985010655635,-1,-1.0965125866544885,1.0965125866544885,0
1.0965125866544885,1,-2.016329802319519,2.016329802319519,0
1.3230583059357945,-1,-0.4614598778290624,0.4614598778290624,0
0.4614598778290624,-1,-0.47985441279091057,-0.47985441279091057,0
-0.47985441279091057,1,-0.7391911497900873,0.7391911497900873,0
0.7391911497900873,-1,-0.3598624827229816,-0.3598624827229816,0
-0.3598624827229816,-1,-1.4164922556832589,-1.4164922556832589,0
-1.4164922556832589,1,-0.40652711917449474,-0.40652711917449474,0
-0.40652711917449474,1,-0.5431253154138853,0.5431253154138853,0
0.5431253154138853,-1,-0.611941027692728,-0.611941027692728,0
-0.611941027692728,-1,-1.6050847302121252,-1.6050847302121252,0
-1.6050847302121252,1,-0.7113151015847357,-0.7113151015847357,0
-0.7113151015847357,1,-0.3360441414787825,0.3360441414787825,0
0.3360441414787825,-1,-0.7558982819445978,-0.7558982819445978,0
-0.7558982819445978,-1,-1.600904841442844,-1.600904841442844,0
-1.600904841442844,-1,-2.679230170676468,-2.679230170676468,0
-2.679230170676468,-1,-3.7114363222970357,-3.7114363222970357,0
-3.7114363222970357,-1,-4.630084600560069,-4.630084600560069,0
-4.630084600560069,1,-3.753171032203465,-3.753171032203465,0
-3.753171032203465,-1,-4.730425038743052,-4.730425038743052,0
-4.730425038743052,-1,-5.599710763314809,-5.599710763314809,0
-5.599710763314809,-1,-6.760459086770932,-6.760459086770932,1
-4.068972321941008,1,-3.0505089360877773,-3.0505089360877773,0
-3.0505089360877773,-1,-4.194513080856157,-4.194513080856157,0
-4.194513080856157,1,-3.075440355244793,-3.075440355244793,0
-3.075440355244793,1,-1.9455006738183442,-1.9455006738183442,0
-1.9455006738183442,-1,-3.0322152894232994,-3.0322152894232994,0
-3.0322152894232994,-1,-3.9704512048721847,-3.9704512048721847,0
-3.9704512048721847,1,-2.8487441251741736,-2.8487441251741736,0
-2.8487441251741736,1,-1.826115298224286,-1.826115298224286,0
-1.826115298224286,1,-0.7413751549666222,-0.7413751549666222,0
-0.7413751549666222,1,-0.27610814623252494,0.27610814623252494,0
0.27610814623252494,1,-1.1544226569966012,1.1544226569966012,0
1.1544226569966012,-1,-0.25935739622868775,0.25935739622868775,0
0.25935739622868775,-1,-0.6081320376198922,-0.6081320376198922,0
-0.6081320376198922,-1,-1.5346819311318876,-1.5346819311318876,0
-1.5346819311318876,-1,-2.63013165732803,-2.63013165732803,0
-2.63013165732803,1,-1.7052495997944226,-1.7052495997944226,0
-1.7052495997944226,-1,-2.8182924051064755,-2.8182924051064755,0
-2.8182924051064755,-1,-3.741294669113396,-3.741294669113396,0
-3.741294669113396,-1,-4.614455716873006,-4.614455716873006,0
-4.614455716873006,-1,-5.572007092467361,-5.572007092467361,0
0.6830860333547157,-1,-0.2228604081490833,-0.2228604081490833,0
-0.2228604081490833,-1,-1.2473992197493704,-1.2473992197493704,0
-1.2473992197493704,-1,-2.3227728361851194,-2.3227728361851194,0
-2.3227728361851194,-1,-3.4117242791476716,-3.4117242791476716,0
-3.4117242791476716,-1,-4.493305307644215,-4.493305307644215,0
-4.493305307644215,1,-3.5010154785856256,-3.5010154785856256,0
-3.5010154785856256,-1,-4.46690028110396,-4.46690028110396,0
-4.46690028110396,-1,-5.4392312011709585,-5.4392312011709585,0
-5.4392312011709585,1,-4.356512876267356,-4.356512876267356,0
-4.356512876267356,1,-3.355212687079565,-3.355212687079565,0
-3.355212687079565,-1,-4.209859279363833,-4.209859279363833,0
-4.209859279363833,-1,-5.236324962687629,-5.236324962687629,0
-5.236324962687629,1,-3.964308046028667,-3.964308046028667,0
-3.964308046028667,-1,-4.901741311252167,-4.901741311252167,0
-4.901741311252167,1,-3.987457066893795,-3.987457066893795,0
-3.987457066893795,1,-3.094546316699906,-3.094546316699906,0
-3.094546316699906,-1,-4.046299075175588,-4.046299075175588,0
-4.046299075175588,-1,-5.068645353708173,-5.068645353708173,0
