s0,action,reward,s2_0,done
2.2773803372035317,1,-3.2950219195859853,3.2950219195859853,0
3.2950219195859853,1,-4.245835604469331,4.245835604469331,0
4.245835604469331,-1,-3.3673101769833775,3.3673101769833775,0
3.3673101769833775,1,-4.281892309248152,4.281892309248152,0
4.281892309248152,-1,-3.383275662358583,3.383275662358583,0
3.383275662358583,-1,-2.374736077795262,2.374736077795262,0
2.374736077795262,1,-3.3925299641858118,3.3925299641858118,0
3.3925299641858118,1,-4.388829086603201,4.388829086603201,0
4.388829086603201,1,-5.3791165931221006,5.3791165931221006,0
5.3791165931221006,-1,-4.442544786293724,4.442544786293724,0
4.442544786293724,-1,-3.304046765888456,3.304046765888456,0
3.304046765888456,-1,-2.4441195068806594,2.4441195068806594,0
2.4441195068806594,1,-3.469763008284189,3.469763008284189,0
3.469763008284189,1,-4.343650656675031,4.343650656675031,0
4.343650656675031,1,-5.339439639239021,5.339439639239021,0
5.339439639239021,1,-6.34942319736405,6.34942319736405,1
0.7666450523516897,-1,-0.2092503466679837,-0.2092503466679837,0
-0.2092503466679837,-1,-1.274673448073264,-1.274673448073264,0
-1.274673448073264,-1,-2.2170639576279787,-2.2170639576279787,0
-2.2170639576279787,1,-1.2663840501764771,-1.2663840501764771,0
-1.2663840501764771,1,-0.16929012894466106,-0.16929012894466106,0
-0.16929012894466106,-1,-1.1412208641093962,-1.1412208641093962,0
-1.1412208641093962,1,-0.05405572224394754,-0.05405572224394754,0
-0.05405572224394754,-1,-1.1093698003450632,-1.1093698003450632,0
-1.1093698003450632,1,-0.11637034364700727,-0.11637034364700727,0
-0.11637034364700727,1,-0.9136306660247423,0.9136306660247423,0
0.9136306660247423,1,-2.0572393986198048,2.0572393986198048,0
2.0572393986198048,-1,-1.1119656011904928,1.1119656011904928,0
1.1119656011904928,1,-2.0141225587651763,2.0141225587651763,0
2.0141225587651763,1,-2.988289315468226,2.988289315468226,0
2.988289315468226,1,-3.8103590028254484,3.8103590028254484,0
3.8103590028254484,-1,-2.775734908420748,2.775734908420748,0
2.775734908420748,1,-3.687304524972753,3.687304524972753,0
3.687304524972753,1,-4.627593776009307,4.627593776009307,0
4.627593776009307,-1,-3.6452458736916773,3.6452458736916773,0
3.6452458736916773,-1,-2.7170566864828545,2.7170566864828545,0
-4.011990819986995,-1,-5.081967651611682,-5.081967651611682,0
-5.081967651611682,1,-4.095832761894528,-4.095832761894528,0
-4.095832761894528,1,-3.0311888808506353,-3.0311888808506353,0
-3.0311888808506353,-1,-4.080548666568426,-4.080548666568426,0
-4.080548666568426,-1,-5.086401964971598,-5.086401964971598,0
-5.086401964971598,1,-4.060144608514997,-4.060144608514997,0
-4.060144608514997,-1,-5.204266378833404,-5.204266378833404,0
-5.204266378833404,-1,-6.227005609385505,-6.227005609385505,1
-4.006146522736507,1,-2.9739549877060965,-2.9739549877060965,0
-2.9739549877060965,1,-1.8432429216066732,-1.8432429216066732,0
-1.8432429216066732,1,-0.6697317700881857,-0.6697317700881857,0
-0.6697317700881857,1,-0.48455718880591103,0.48455718880591103,0
0.48455718880591103,1,-1.5034810945743173,1.5034810945743173,0
1.5034810945743173,1,-2.5820568314469523,2.5820568314469523,0
2.5820568314469523,-1,-1.8626658828463019,1.8626658828463019,0
1.8626658828463019,-1,-0.8058512052379007,0.8058512052379007,0
0.8058512052379007,1,-1.705818380925026,1.705818380925026,0
1.705818380925026,-1,-0.8266039386825877,0.8266039386825877,0
0.8266039386825877,-1,-0.14867874653321816,-0.14867874653321816,0
-0.14867874653321816,1,-0.8433668695449013,0.8433668695449013,0
0.8433668695449013,1,-1.766133710413027,1.766133710413027,0
1.766133710413027,1,-2.8008909065835836,2.8008909065835836,0
2.8008909065835836,1,-3.92528547642903,3.92528547642903,0
3.92528547642903,-1,-2.9620167134795654,2.9620167134795654,0
2.9620167134795654,1,-3.840154938580656,3.840154938580656,0
3.840154938580656,1,-4.921653697381225,4.921653697381225,0
4.921653697381225,-1,-3.890536341919844,3.890536341919844,0
3.890536341919844,-1,-2.933818234759783,2.933818234759783,0
-3.4421333722775325,1,-2.373575455468186,-2.373575455468186,0
-2.373575455468186,1,-1.3626966229929784,-1.3626966229929784,0
-1.3626966229929784,-1,-2.208768047977084,-2.208768047977084,0
-2.208768047977084,1,-1.1848885094051202,-1.1848885094051202,0
-1.1848885094051202,-1,-2.1191926667131162,-2.1191926667131162,0
-2.1191926667131162,-1,-3.2702859043847905,-3.2702859043847905,0
-3.2702859043847905,-1,-4.551918848333687,-4.551918848333687,0
-4.551918848333687,1,-3.7020843217143304,-3.7020843217143304,0
-3.7020843217143304,1,-2.787580925749171,-2.787580925749171,0
-2.787580925749171,1,-1.6979456913766187,-1.6979456913766187,0
-1.6979456913766187,-1,-2.4903496723080605,-2.4903496723080605,0
-2.4903496723080605,-1,-3.343435445863583,-3.343435445863583,0
-3.343435445863583,-1,-4.411041477041774,-4.411041477041774,0
-4.411041477041774,-1,-5.40881662335811,-5.40881662335811,0
-5.40881662335811,-1,-6.621852155747635,-6.621852155747635,1
2.3269494260190324,1,-3.270324313887545,3.270324313887545,0
3.270324313887545,1,-4.372108303791021,4.372108303791021,0
4.372108303791021,1,-5.307366887388181,5.307366887388181,0
5.307366887388181,1,-6.405723475531607,6.405723475531607,1
-0.6454730708693859,1,-0.40057866098894246,0.40057866098894246,0
0.40057866098894246,1,-1.2576880104337935,1.2576880104337935,0
1.2576880104337935,-1,-0.2182910296835268,0.2182910296835268,0
0.2182910296835268,-1,-0.8179406371491589,-0.8179406371491589,0
-0.8179406371491589,1,-0.11264278862630951,0.11264278862630951,0
0.11264278862630951,-1,-0.972369080600455,-0.972369080600455,0
-0.972369080600455,1,-0.1474054884669073,-0.1474054884669073,0
-0.1474054884669073,-1,-1.1143206979319586,-1.1143206979319586,0
-1.1143206979319586,1,-0.10715628436847928,-0.10715628436847928,0
-0.10715628436847928,1,-0.9069438183202788,0.9069438183202788,0
0.9069438183202788,-1,-0.021434019157299686,0.021434019157299686,0
0.021434019157299686,1,-1.0651924877684973,1.0651924877684973,0
1.0651924877684973,-1,-0.18247721529660244,0.18247721529660244,0
0.18247721529660244,1,-1.1896854251292381,1.1896854251292381,0
1.1896854251292381,1,-2.1859161709868284,2.1859161709868284,0
2.1859161709868284,-1,-1.2002335759721312,1.2002335759721312,0
1.2002335759721312,-1,-0.17104569408530207,0.17104569408530207,0
0.17104569408530207,-1,-0.9193050989198673,-0.9193050989198673,0
-0.9193050989198673,-1,-1.688634062244364,-1.688634062244364,0
-1.688634062244364,1,-0.7164095113689543,-0.7164095113689543,0
-1.0597218938121733,-1,-1.9559759600177866,-1.9559759600177866,0
-1.9559759600177866,-1,-2.8627384045363398,-2.8627384045363398,0
-2.8627384045363398,1,-1.8339826473871221,-1.8339826473871221,0
-1.8339826473871221,1,-1.0559626614061712,-1.0559626614061712,0
-1.0559626614061712,-1,-1.9706068382851791,-1.9706068382851791,0
-1.9706068382851791,-1,-3.043303004272292,-3.043303004272292,0
-3.043303004272292,-1,-3.8115221785295756,-3.8115221785295756,0
-3.8115221785295756,1,-2.6649649484772118,-2.6649649484772118,0
-2.6649649484772118,1,-1.729946826777249,-1.729946826777249,0
-1.729946826777249,1,-0.7456461282027117,-0.7456461282027117,0
-0.7456461282027117,1,-0.11367997444348563,0.11367997444348563,0
0.11367997444348563,-1,-0.8797046164469928,-0.8797046164469928,0
-0.8797046164469928,1,-0.0463425630686691,0.0463425630686691,0
0.0463425630686691,1,-1.1392477118566298,1.1392477118566298,0
1.1392477118566298,-1,-0.10421725763552259,0.10421725763552259,0
0.10421725763552259,1,-1.0922970348818561,1.0922970348818561,0
1.0922970348818561,-1,-0.13740305040108408,0.13740305040108408,0
0.13740305040108408,1,-1.1862816504131337,1.1862816504131337,0
1.1862816504131337,1,-2.1690974753880026,2.1690974753880026,0
2.1690974753880026,1,-3.213775716741491,3.213775716741491,0
-1.7184480456352116,-1,-2.595711558650653,-2.595711558650653,0
-2.595711558650653,1,-1.4299011690544838,-1.4299011690544838,0
-1.4299011690544838,-1,-2.353079795266433,-2.353079795266433,0
-2.353079795266433,-1,-3.3211275681995804,-3.3211275681995804,0
-3.3211275681995804,-1,-4.563187802711361,-4.563187802711361,0
-4.563187802711361,-1,-5.747466204587575,-5.747466204587575,0
-5.747466204587575,1,-4.721285392271607,-4.721285392271607,0
-4.721285392271607,-1,-5.6989642036425385,-5.6989642036425385,0
-5.6989642036425385,-1,-6.781615753699911,-6.781615753699911,1
0.7070882822649063,1,-1.589911383682703,1.589911383682703,0
1.589911383682703,-1,-0.4255226392764247,0.4255226392764247,0
0.4255226392764247,1,-1.3440618545821212,1.3440618545821212,0
1.3440618545821212,1,-2.5839629161220503,2.5839629161220503,0
2.5839629161220503,1,-3.618315847631595,3.618315847631595,0
3.618315847631595,-1,-2.5929139468371525,2.5929139468371525,0
2.5929139468371525,-1,-1.589941958285911,1.589941958285911,0
1.589941958285911,1,-2.4327950523882445,2.4327950523882445,0
2.4327950523882445,1,-3.3329564329661814,3.3329564329661814,0
3.3329564329661814,1,-4.408821985296667,4.408821985296667,0
4.408821985296667,-1,-3.353009551749277,3.353009551749277,0
3.353009551749277,1,-4.280999354763127,4.280999354763127,0
4.280999354763127,-1,-3.14628204732223,3.14628204732223,0
3.14628204732223,1,-4.039684108951935,4.039684108951935,0
4.039684108951935,1,-5.152540724290645,5.152540724290645,0
5.152540724290645,1,-6.072745940172279,6.072745940172279,1
1.5866898102332874,1,-2.3785773587249395,2.3785773587249395,0
2.3785773587249395,-1,-1.6665230188604836,1.6665230188604836,0
